,Community Transit,Everett Transit,King County Metro,Kitsap Transit,Pierce Transit,Sound Transit
2001, 0.6% , 0.3% , 0.8% , 0.5% , 0.3% , 0.4% 
2002, 0.9% , 0.3% , 0.8% , 0.8% , 0.6% , 0.4% 
2003, 0.9% , 0.3% , 0.8% , 0.8% , 0.6% , 0.4% 
2004, 0.9% , 0.3% , 0.8% , 0.8% , 0.6% , 0.4% 
2005, 0.9% , 0.6% , 0.8% , 0.8% , 0.6% , 0.4% 
2006, 0.9% , 0.6% , 0.8% , 0.8% , 0.6% , 0.4% 
2007, 0.9% , 0.6% , 0.9% , 0.8% , 0.6% , 0.4% 
2008, 0.9% , 0.6% , 0.9% , 0.8% , 0.6% , 0.4% 
2009, 0.9% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2010, 0.9% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2011, 0.9% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2012, 0.9% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2013, 0.9% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2014, 0.9% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2015, 0.9% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2016, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2017, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2018, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2019, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2020, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2021, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2022, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2023, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2024, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2025, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2026, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2027, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2028, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2029, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2030, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2031, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2032, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2033, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2034, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2035, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2036, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2037, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2038, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2039, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2040, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2041, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2042, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2043, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2044, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2045, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2046, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2047, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2048, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2049, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
2050, 1.2% , 0.6% , 0.9% , 0.8% , 0.6% , 0.9% 
