Year,Revenue Type,Transit Agency,Value,Dollar Type
2037,PSRC FHWA,Pierce Transit,606662.8099346033,Nominal
2038,PSRC FHWA,Pierce Transit,621829.3801829683,Nominal
2039,PSRC FHWA,Pierce Transit,637375.1146875425,Nominal
2040,PSRC FHWA,Pierce Transit,653309.4925547311,Nominal
2041,PSRC FHWA,Pierce Transit,669642.2298685993,Nominal
2042,PSRC FHWA,Pierce Transit,686383.2856153143,Nominal
2043,PSRC FHWA,Pierce Transit,703542.8677556971,Nominal
2044,PSRC FHWA,Pierce Transit,721131.4394495895,Nominal
2045,PSRC FHWA,Pierce Transit,739159.7254358291,Nominal
2046,PSRC FHWA,Pierce Transit,757638.7185717248,Nominal
2047,PSRC FHWA,Pierce Transit,776579.6865360179,Nominal
2048,PSRC FHWA,Pierce Transit,795994.1786994183,Nominal
2049,PSRC FHWA,Pierce Transit,815894.0331669037,Nominal
2050,PSRC FHWA,Pierce Transit,836291.3839960762,Nominal
2016,PSRC FTA,Pierce Transit,7999060.0,Nominal
2017,PSRC FTA,Pierce Transit,7984252.0,Nominal
2018,PSRC FTA,Pierce Transit,7952502.0,Nominal
2019,PSRC FTA,Pierce Transit,9581992.0,Nominal
2020,PSRC FTA,Pierce Transit,8351312.0,Nominal
2021,PSRC FTA,Pierce Transit,8583169.19,Nominal
2022,PSRC FTA,Pierce Transit,8797748.41975,Nominal
2023,PSRC FTA,Pierce Transit,9017692.130243748,Nominal
2024,PSRC FTA,Pierce Transit,9243134.433499841,Nominal
2025,PSRC FTA,Pierce Transit,9474212.794337336,Nominal
2026,PSRC FTA,Pierce Transit,9711068.114195768,Nominal
2027,PSRC FTA,Pierce Transit,9953844.817050662,Nominal
2028,PSRC FTA,Pierce Transit,10202690.937476927,Nominal
2029,PSRC FTA,Pierce Transit,10457758.21091385,Nominal
2030,PSRC FTA,Pierce Transit,10719202.166186696,Nominal
2031,PSRC FTA,Pierce Transit,10987182.220341362,Nominal
2032,PSRC FTA,Pierce Transit,11261861.775849896,Nominal
2033,PSRC FTA,Pierce Transit,11543408.320246141,Nominal
2034,PSRC FTA,Pierce Transit,11831993.528252294,Nominal
2035,PSRC FTA,Pierce Transit,12127793.3664586,Nominal
2036,PSRC FTA,Pierce Transit,12430988.200620065,Nominal
2037,PSRC FTA,Pierce Transit,12741762.905635566,Nominal
2038,PSRC FTA,Pierce Transit,13060306.978276454,Nominal
2039,PSRC FTA,Pierce Transit,13386814.652733363,Nominal
2040,PSRC FTA,Pierce Transit,13721485.019051695,Nominal
2041,PSRC FTA,Pierce Transit,14064522.144527987,Nominal
2042,PSRC FTA,Pierce Transit,14416135.198141186,Nominal
2043,PSRC FTA,Pierce Transit,14776538.578094713,Nominal
2044,PSRC FTA,Pierce Transit,15145952.04254708,Nominal
2045,PSRC FTA,Pierce Transit,15524600.843610756,Nominal
2046,PSRC FTA,Pierce Transit,15912715.864701023,Nominal
2047,PSRC FTA,Pierce Transit,16310533.761318548,Nominal
2048,PSRC FTA,Pierce Transit,16718297.10535151,Nominal
2049,PSRC FTA,Pierce Transit,17136254.532985296,Nominal
2050,PSRC FTA,Pierce Transit,17564660.896309927,Nominal
2018,Non-PSRC FTA,Pierce Transit,1664894.0,Nominal
2019,Non-PSRC FTA,Pierce Transit,4131710.0,Nominal
2021,Non-PSRC FTA,Pierce Transit,1173261.0279211255,Nominal
2022,Non-PSRC FTA,Pierce Transit,1184753.4182013387,Nominal
2023,Non-PSRC FTA,Pierce Transit,1194752.21263286,Nominal
2024,Non-PSRC FTA,Pierce Transit,1204128.6754607598,Nominal
2025,Non-PSRC FTA,Pierce Transit,1214583.846401604,Nominal
2026,Non-PSRC FTA,Pierce Transit,1226449.6356439898,Nominal
2027,Non-PSRC FTA,Pierce Transit,1238605.8463013994,Nominal
2028,Non-PSRC FTA,Pierce Transit,1250637.5906380853,Nominal
2029,Non-PSRC FTA,Pierce Transit,1264494.8410120606,Nominal
2030,Non-PSRC FTA,Pierce Transit,1280675.4627062238,Nominal
2031,Non-PSRC FTA,Pierce Transit,1299137.9669469998,Nominal
2032,Non-PSRC FTA,Pierce Transit,1320255.7526965616,Nominal
2033,Non-PSRC FTA,Pierce Transit,1342908.62306839,Nominal
2034,Non-PSRC FTA,Pierce Transit,1368175.2861754294,Nominal
2035,Non-PSRC FTA,Pierce Transit,1396844.0287156005,Nominal
2036,Non-PSRC FTA,Pierce Transit,1427836.1425759592,Nominal
2037,Non-PSRC FTA,Pierce Transit,1461276.0940772295,Nominal
2038,Non-PSRC FTA,Pierce Transit,1496666.0179365145,Nominal
2039,Non-PSRC FTA,Pierce Transit,1535623.9763232302,Nominal
2040,Non-PSRC FTA,Pierce Transit,1575494.6877285915,Nominal
2041,Non-PSRC FTA,Pierce Transit,1616319.6409261725,Nominal
2042,Non-PSRC FTA,Pierce Transit,1659260.521576067,Nominal
2043,Non-PSRC FTA,Pierce Transit,1704109.8858104013,Nominal
2044,Non-PSRC FTA,Pierce Transit,1751573.0427799465,Nominal
2045,Non-PSRC FTA,Pierce Transit,1799285.1323909403,Nominal
2046,Non-PSRC FTA,Pierce Transit,1845960.0026625649,Nominal
2047,Non-PSRC FTA,Pierce Transit,1890975.3219911985,Nominal
2048,Non-PSRC FTA,Pierce Transit,1933210.8934903217,Nominal
2049,Non-PSRC FTA,Pierce Transit,1974450.7344236504,Nominal
2050,Non-PSRC FTA,Pierce Transit,2015607.5978098293,Nominal
1989,Sales & Use Tax,Community Transit,8087999.999999999,Nominal
1990,Sales & Use Tax,Community Transit,15068000.0,Nominal
1991,Sales & Use Tax,Community Transit,18341000.0,Nominal
1992,Sales & Use Tax,Community Transit,19964000.0,Nominal
1993,Sales & Use Tax,Community Transit,21063000.0,Nominal
1994,Sales & Use Tax,Community Transit,21464000.0,Nominal
1995,Sales & Use Tax,Community Transit,22534202.0,Nominal
1996,Sales & Use Tax,Community Transit,23236800.0,Nominal
1997,Sales & Use Tax,Community Transit,26518080.0,Nominal
1998,Sales & Use Tax,Community Transit,27118203.0,Nominal
1999,Sales & Use Tax,Community Transit,30007905.0,Nominal
2000,Sales & Use Tax,Community Transit,32834000.000000004,Nominal
2001,Sales & Use Tax,Community Transit,34350000.0,Nominal
2002,Sales & Use Tax,Community Transit,51600000.0,Nominal
2003,Sales & Use Tax,Community Transit,53080000.0,Nominal
2004,Sales & Use Tax,Community Transit,57810000.0,Nominal
2005,Sales & Use Tax,Community Transit,65047000.0,Nominal
2006,Sales & Use Tax,Community Transit,70784000.0,Nominal
2007,Sales & Use Tax,Community Transit,76919000.0,Nominal
2008,Sales & Use Tax,Community Transit,69185000.0,Nominal
2009,Sales & Use Tax,Community Transit,62185000.0,Nominal
2010,Sales & Use Tax,Community Transit,62634000.0,Nominal
2011,Sales & Use Tax,Community Transit,63710000.0,Nominal
2012,Sales & Use Tax,Community Transit,67480000.0,Nominal
2013,Sales & Use Tax,Community Transit,74780000.0,Nominal
2014,Sales & Use Tax,Community Transit,79550000.0,Nominal
2015,Sales & Use Tax,Community Transit,84461000.0,Nominal
2016,Sales & Use Tax,Community Transit,115768000.0,Nominal
2017,Sales & Use Tax,Community Transit,131303000.0,Nominal
2018,Sales & Use Tax,Community Transit,141941000.0,Nominal
2019,Sales & Use Tax,Community Transit,127937822.38272,Nominal
2020,Sales & Use Tax,Community Transit,134316383.59295997,Nominal
2021,Sales & Use Tax,Community Transit,143644106.07648,Nominal
2022,Sales & Use Tax,Community Transit,147491440.17696,Nominal
2023,Sales & Use Tax,Community Transit,151747706.32128,Nominal
2024,Sales & Use Tax,Community Transit,159720063.3216,Nominal
2025,Sales & Use Tax,Community Transit,164849660.85599998,Nominal
2026,Sales & Use Tax,Community Transit,169194801.30047998,Nominal
2027,Sales & Use Tax,Community Transit,176970715.33536,Nominal
2028,Sales & Use Tax,Community Transit,183046059.6912,Nominal
2029,Sales & Use Tax,Community Transit,187401194.89056,Nominal
2030,Sales & Use Tax,Community Transit,194594609.54304,Nominal
2031,Sales & Use Tax,Community Transit,201744516.8736,Nominal
2032,Sales & Use Tax,Community Transit,207059571.31967998,Nominal
2033,Sales & Use Tax,Community Transit,213171000.65856,Nominal
2034,Sales & Use Tax,Community Transit,219782414.96064,Nominal
2035,Sales & Use Tax,Community Transit,225782413.25184,Nominal
2036,Sales & Use Tax,Community Transit,232630120.08288002,Nominal
2037,Sales & Use Tax,Community Transit,240639957.18432,Nominal
2038,Sales & Use Tax,Community Transit,248123982.26591998,Nominal
2039,Sales & Use Tax,Community Transit,254881079.58528,Nominal
2040,Sales & Use Tax,Community Transit,261372830.10623997,Nominal
2041,Sales & Use Tax,Community Transit,267369035.50367996,Nominal
2042,Sales & Use Tax,Community Transit,273784730.12351996,Nominal
2043,Sales & Use Tax,Community Transit,280356849.76896,Nominal
2044,Sales & Use Tax,Community Transit,286784029.80864,Nominal
2045,Sales & Use Tax,Community Transit,293255467.848,Nominal
2046,Sales & Use Tax,Community Transit,299021174.91648,Nominal
2047,Sales & Use Tax,Community Transit,304493961.14208,Nominal
2048,Sales & Use Tax,Community Transit,309302635.33151996,Nominal
2049,Sales & Use Tax,Community Transit,313207449.31584,Nominal
2050,Sales & Use Tax,Community Transit,316991498.89247996,Nominal
1989,Sales & Use Tax,Everett Transit,4177000.0,Nominal
1990,Sales & Use Tax,Everett Transit,4513000.0,Nominal
1991,Sales & Use Tax,Everett Transit,4581000.0,Nominal
1992,Sales & Use Tax,Everett Transit,5882000.0,Nominal
1993,Sales & Use Tax,Everett Transit,6240000.0,Nominal
1994,Sales & Use Tax,Everett Transit,5496000.0,Nominal
1995,Sales & Use Tax,Everett Transit,5326884.0,Nominal
1996,Sales & Use Tax,Everett Transit,5448900.0,Nominal
1997,Sales & Use Tax,Everett Transit,6383101.0,Nominal
1998,Sales & Use Tax,Everett Transit,6516763.0,Nominal
1999,Sales & Use Tax,Everett Transit,7095269.0,Nominal
2000,Sales & Use Tax,Everett Transit,7140000.0,Nominal
2001,Sales & Use Tax,Everett Transit,6670000.0,Nominal
2002,Sales & Use Tax,Everett Transit,6800000.0,Nominal
2003,Sales & Use Tax,Everett Transit,6870000.0,Nominal
2004,Sales & Use Tax,Everett Transit,6680000.0,Nominal
2005,Sales & Use Tax,Everett Transit,13193000.0,Nominal
2006,Sales & Use Tax,Everett Transit,14590000.0,Nominal
2007,Sales & Use Tax,Everett Transit,18769000.0,Nominal
2008,Sales & Use Tax,Everett Transit,17352000.0,Nominal
2009,Sales & Use Tax,Everett Transit,14148000.0,Nominal
2010,Sales & Use Tax,Everett Transit,15651000.0,Nominal
2011,Sales & Use Tax,Everett Transit,14920000.0,Nominal
2012,Sales & Use Tax,Everett Transit,15740000.0,Nominal
2013,Sales & Use Tax,Everett Transit,16379999.999999998,Nominal
2014,Sales & Use Tax,Everett Transit,17320000.0,Nominal
2015,Sales & Use Tax,Everett Transit,18327000.0,Nominal
2016,Sales & Use Tax,Everett Transit,18960000.0,Nominal
2017,Sales & Use Tax,Everett Transit,19553000.0,Nominal
2018,Sales & Use Tax,Everett Transit,20170000.0,Nominal
2019,Sales & Use Tax,Everett Transit,11121031.974359998,Nominal
2020,Sales & Use Tax,Everett Transit,11675490.240479998,Nominal
2021,Sales & Use Tax,Everett Transit,12486305.19774,Nominal
2022,Sales & Use Tax,Everett Transit,12820735.81998,Nominal
2023,Sales & Use Tax,Everett Transit,13190712.97764,Nominal
2024,Sales & Use Tax,Everett Transit,13883712.400799999,Nominal
2025,Sales & Use Tax,Everett Transit,14329604.1405,Nominal
2026,Sales & Use Tax,Everett Transit,14707306.72224,Nominal
2027,Sales & Use Tax,Everett Transit,15383230.284179999,Nominal
2028,Sales & Use Tax,Everett Transit,15911331.338100001,Nominal
2029,Sales & Use Tax,Everett Transit,16289902.716780001,Nominal
2030,Sales & Use Tax,Everett Transit,16915192.35252,Nominal
2031,Sales & Use Tax,Everett Transit,17536700.101800002,Nominal
2032,Sales & Use Tax,Everett Transit,17998712.73684,Nominal
2033,Sales & Use Tax,Everett Transit,18529950.488280002,Nominal
2034,Sales & Use Tax,Everett Transit,19104649.57632,Nominal
2035,Sales & Use Tax,Everett Transit,19626201.151920002,Nominal
2036,Sales & Use Tax,Everett Transit,20221440.035940003,Nominal
2037,Sales & Use Tax,Everett Transit,20917697.42766,Nominal
2038,Sales & Use Tax,Everett Transit,21568248.45846,Nominal
2039,Sales & Use Tax,Everett Transit,22155611.08464,Nominal
2040,Sales & Use Tax,Everett Transit,22719908.36412,Nominal
2041,Sales & Use Tax,Everett Transit,23241130.241339996,Nominal
2042,Sales & Use Tax,Everett Transit,23798816.339759998,Nominal
2043,Sales & Use Tax,Everett Transit,24370099.72848,Nominal
2044,Sales & Use Tax,Everett Transit,24928784.20032,Nominal
2045,Sales & Use Tax,Everett Transit,25491315.811499998,Nominal
2046,Sales & Use Tax,Everett Transit,25992501.555239998,Nominal
2047,Sales & Use Tax,Everett Transit,26468225.07054,Nominal
2048,Sales & Use Tax,Everett Transit,26886220.45626,Nominal
2049,Sales & Use Tax,Everett Transit,27225647.53392,Nominal
2050,Sales & Use Tax,Everett Transit,27554577.130739998,Nominal
1989,Sales & Use Tax,King County Metro,120856000.0,Nominal
1990,Sales & Use Tax,King County Metro,135133000.0,Nominal
1991,Sales & Use Tax,King County Metro,136522000.0,Nominal
1992,Sales & Use Tax,King County Metro,140247000.0,Nominal
1993,Sales & Use Tax,King County Metro,149685000.0,Nominal
1994,Sales & Use Tax,King County Metro,152141000.0,Nominal
1995,Sales & Use Tax,King County Metro,161998000.0,Nominal
1996,Sales & Use Tax,King County Metro,172073500.0,Nominal
1997,Sales & Use Tax,King County Metro,187460715.0,Nominal
1998,Sales & Use Tax,King County Metro,202031721.0,Nominal
1999,Sales & Use Tax,King County Metro,217710548.0,Nominal
2000,Sales & Use Tax,King County Metro,239234000.0,Nominal
2001,Sales & Use Tax,King County Metro,287840000.0,Nominal
2002,Sales & Use Tax,King County Metro,297140000.0,Nominal
2003,Sales & Use Tax,King County Metro,309630000.0,Nominal
2004,Sales & Use Tax,King County Metro,285616052.29999995,Nominal
2005,Sales & Use Tax,King County Metro,335521000.0,Nominal
2006,Sales & Use Tax,King County Metro,364356000.0,Nominal
2007,Sales & Use Tax,King County Metro,429262000.0,Nominal
2008,Sales & Use Tax,King County Metro,445428000.0,Nominal
2009,Sales & Use Tax,King County Metro,382354000.0,Nominal
2010,Sales & Use Tax,King County Metro,373093000.0,Nominal
2011,Sales & Use Tax,King County Metro,397580000.0,Nominal
2012,Sales & Use Tax,King County Metro,399500000.0,Nominal
2013,Sales & Use Tax,King County Metro,437140000.0,Nominal
2014,Sales & Use Tax,King County Metro,473790000.0,Nominal
2015,Sales & Use Tax,King County Metro,521141000.0,Nominal
2016,Sales & Use Tax,King County Metro,567127000.0,Nominal
2017,Sales & Use Tax,King County Metro,591088000.0,Nominal
2018,Sales & Use Tax,King County Metro,652299000.0,Nominal
2019,Sales & Use Tax,King County Metro,517688103.05999994,Nominal
2020,Sales & Use Tax,King County Metro,527349211.46999997,Nominal
2021,Sales & Use Tax,King County Metro,550681343.8199999,Nominal
2022,Sales & Use Tax,King County Metro,552848128.4699999,Nominal
2023,Sales & Use Tax,King County Metro,556759547.91,Nominal
2024,Sales & Use Tax,King County Metro,575499425.67,Nominal
2025,Sales & Use Tax,King County Metro,583513114.9499999,Nominal
2026,Sales & Use Tax,King County Metro,589306721.4,Nominal
2027,Sales & Use Tax,King County Metro,608075975.7900001,Nominal
2028,Sales & Use Tax,King County Metro,621520553.3399999,Nominal
2029,Sales & Use Tax,King County Metro,629299658.6099999,Nominal
2030,Sales & Use Tax,King County Metro,647662339.62,Nominal
2031,Sales & Use Tax,King County Metro,667322506.7099999,Nominal
2032,Sales & Use Tax,King County Metro,681289671.87,Nominal
2033,Sales & Use Tax,King County Metro,699114660.93,Nominal
2034,Sales & Use Tax,King County Metro,719786724.5699999,Nominal
2035,Sales & Use Tax,King County Metro,739462655.16,Nominal
2036,Sales & Use Tax,King County Metro,763532662.2299999,Nominal
2037,Sales & Use Tax,King County Metro,793033029.18,Nominal
2038,Sales & Use Tax,King County Metro,822302009.64,Nominal
2039,Sales & Use Tax,King County Metro,850756609.53,Nominal
2040,Sales & Use Tax,King County Metro,880074477.0899999,Nominal
2041,Sales & Use Tax,King County Metro,909648770.4,Nominal
2042,Sales & Use Tax,King County Metro,942675419.6999999,Nominal
2043,Sales & Use Tax,King County Metro,978601170.5999999,Nominal
2044,Sales & Use Tax,King County Metro,1016162852.4,Nominal
2045,Sales & Use Tax,King County Metro,1056303195.3,Nominal
2046,Sales & Use Tax,King County Metro,1096649868.6,Nominal
2047,Sales & Use Tax,King County Metro,1137841766.1,Nominal
2048,Sales & Use Tax,King County Metro,1178737993.8,Nominal
2049,Sales & Use Tax,King County Metro,1217743475.3999999,Nominal
2050,Sales & Use Tax,King County Metro,1258630952.3999999,Nominal
1989,Sales & Use Tax,Kitsap Transit,3190000.0,Nominal
1990,Sales & Use Tax,Kitsap Transit,4093000.0,Nominal
1991,Sales & Use Tax,Kitsap Transit,4274000.0,Nominal
1992,Sales & Use Tax,Kitsap Transit,4671000.0,Nominal
1993,Sales & Use Tax,Kitsap Transit,6475000.0,Nominal
1994,Sales & Use Tax,Kitsap Transit,9749000.0,Nominal
1995,Sales & Use Tax,Kitsap Transit,9195000.0,Nominal
1996,Sales & Use Tax,Kitsap Transit,9614500.0,Nominal
1997,Sales & Use Tax,Kitsap Transit,10023688.0,Nominal
1998,Sales & Use Tax,Kitsap Transit,10907509.0,Nominal
1999,Sales & Use Tax,Kitsap Transit,14259185.0,Nominal
2000,Sales & Use Tax,Kitsap Transit,14326000.0,Nominal
2001,Sales & Use Tax,Kitsap Transit,15330000.0,Nominal
2002,Sales & Use Tax,Kitsap Transit,22250000.0,Nominal
2003,Sales & Use Tax,Kitsap Transit,24000000.0,Nominal
2004,Sales & Use Tax,Kitsap Transit,25310000.0,Nominal
2005,Sales & Use Tax,Kitsap Transit,26928000.0,Nominal
2006,Sales & Use Tax,Kitsap Transit,29188000.0,Nominal
2007,Sales & Use Tax,Kitsap Transit,30149000.0,Nominal
2008,Sales & Use Tax,Kitsap Transit,28382000.0,Nominal
2009,Sales & Use Tax,Kitsap Transit,25934000.0,Nominal
2010,Sales & Use Tax,Kitsap Transit,25758000.0,Nominal
2011,Sales & Use Tax,Kitsap Transit,25940000.0,Nominal
2012,Sales & Use Tax,Kitsap Transit,26650000.0,Nominal
2013,Sales & Use Tax,Kitsap Transit,27540000.0,Nominal
2014,Sales & Use Tax,Kitsap Transit,29330000.0,Nominal
2015,Sales & Use Tax,Kitsap Transit,31974000.0,Nominal
2016,Sales & Use Tax,Kitsap Transit,34580000.0,Nominal
2017,Sales & Use Tax,Kitsap Transit,47845000.0,Nominal
2018,Sales & Use Tax,Kitsap Transit,41743000.0,Nominal
2019,Sales & Use Tax,Kitsap Transit,33704993.696,Nominal
2020,Sales & Use Tax,Kitsap Transit,35561134.448,Nominal
2021,Sales & Use Tax,Kitsap Transit,38933383.392,Nominal
2022,Sales & Use Tax,Kitsap Transit,40861267.496,Nominal
2023,Sales & Use Tax,Kitsap Transit,42190195.232,Nominal
2024,Sales & Use Tax,Kitsap Transit,44303846.424,Nominal
2025,Sales & Use Tax,Kitsap Transit,45380064.664000005,Nominal
2026,Sales & Use Tax,Kitsap Transit,46064500.704,Nominal
2027,Sales & Use Tax,Kitsap Transit,47675607.904,Nominal
2028,Sales & Use Tax,Kitsap Transit,49038183.392000005,Nominal
2029,Sales & Use Tax,Kitsap Transit,49941460.256000005,Nominal
2030,Sales & Use Tax,Kitsap Transit,51516543.288,Nominal
2031,Sales & Use Tax,Kitsap Transit,53355279.248,Nominal
2032,Sales & Use Tax,Kitsap Transit,54694477.448,Nominal
2033,Sales & Use Tax,Kitsap Transit,56375256.176,Nominal
2034,Sales & Use Tax,Kitsap Transit,58353239.304,Nominal
2035,Sales & Use Tax,Kitsap Transit,60167032.072000004,Nominal
2036,Sales & Use Tax,Kitsap Transit,62278123.392000005,Nominal
2037,Sales & Use Tax,Kitsap Transit,64725262.656,Nominal
2038,Sales & Use Tax,Kitsap Transit,67178352.888,Nominal
2039,Sales & Use Tax,Kitsap Transit,69517210.136,Nominal
2040,Sales & Use Tax,Kitsap Transit,71875517.624,Nominal
2041,Sales & Use Tax,Kitsap Transit,74161771.2,Nominal
2042,Sales & Use Tax,Kitsap Transit,76517382.68800001,Nominal
2043,Sales & Use Tax,Kitsap Transit,79039578.77600001,Nominal
2044,Sales & Use Tax,Kitsap Transit,81543352.72,Nominal
2045,Sales & Use Tax,Kitsap Transit,84018880.08,Nominal
2046,Sales & Use Tax,Kitsap Transit,86264373.2,Nominal
2047,Sales & Use Tax,Kitsap Transit,88159550.0,Nominal
2048,Sales & Use Tax,Kitsap Transit,89760428.72,Nominal
2049,Sales & Use Tax,Kitsap Transit,90944515.76,Nominal
2050,Sales & Use Tax,Kitsap Transit,91943432.08,Nominal
1989,Sales & Use Tax,Pierce Transit,13514000.0,Nominal
1990,Sales & Use Tax,Pierce Transit,14250000.0,Nominal
1991,Sales & Use Tax,Pierce Transit,15084000.0,Nominal
1992,Sales & Use Tax,Pierce Transit,16074000.000000002,Nominal
1993,Sales & Use Tax,Pierce Transit,17839000.0,Nominal
1994,Sales & Use Tax,Pierce Transit,18583000.0,Nominal
1995,Sales & Use Tax,Pierce Transit,19026649.0,Nominal
1996,Sales & Use Tax,Pierce Transit,19391100.0,Nominal
1997,Sales & Use Tax,Pierce Transit,20655289.0,Nominal
1998,Sales & Use Tax,Pierce Transit,22550155.0,Nominal
1999,Sales & Use Tax,Pierce Transit,24218060.0,Nominal
2000,Sales & Use Tax,Pierce Transit,25789000.0,Nominal
2001,Sales & Use Tax,Pierce Transit,16446586.52,Nominal
2002,Sales & Use Tax,Pierce Transit,41140000.0,Nominal
2003,Sales & Use Tax,Pierce Transit,58190000.0,Nominal
2004,Sales & Use Tax,Pierce Transit,61770000.0,Nominal
2005,Sales & Use Tax,Pierce Transit,69126000.0,Nominal
2006,Sales & Use Tax,Pierce Transit,74593000.0,Nominal
2007,Sales & Use Tax,Pierce Transit,77157000.0,Nominal
2008,Sales & Use Tax,Pierce Transit,71752000.0,Nominal
2009,Sales & Use Tax,Pierce Transit,63335000.0,Nominal
2010,Sales & Use Tax,Pierce Transit,65339000.0,Nominal
2011,Sales & Use Tax,Pierce Transit,64510000.00000001,Nominal
2012,Sales & Use Tax,Pierce Transit,65190000.0,Nominal
2013,Sales & Use Tax,Pierce Transit,62590000.0,Nominal
2014,Sales & Use Tax,Pierce Transit,65769999.99999999,Nominal
2015,Sales & Use Tax,Pierce Transit,70914000.0,Nominal
2016,Sales & Use Tax,Pierce Transit,76178000.0,Nominal
2017,Sales & Use Tax,Pierce Transit,80982000.0,Nominal
2018,Sales & Use Tax,Pierce Transit,86801000.0,Nominal
2019,Sales & Use Tax,Pierce Transit,64641732.44099999,Nominal
2020,Sales & Use Tax,Pierce Transit,68039569.65,Nominal
2021,Sales & Use Tax,Pierce Transit,72234386.133,Nominal
2022,Sales & Use Tax,Pierce Transit,74879205.258,Nominal
2023,Sales & Use Tax,Pierce Transit,77646408.177,Nominal
2024,Sales & Use Tax,Pierce Transit,81556953.66000001,Nominal
2025,Sales & Use Tax,Pierce Transit,84766151.652,Nominal
2026,Sales & Use Tax,Pierce Transit,87883063.008,Nominal
2027,Sales & Use Tax,Pierce Transit,92102968.464,Nominal
2028,Sales & Use Tax,Pierce Transit,95930346.56400001,Nominal
2029,Sales & Use Tax,Pierce Transit,99337552.704,Nominal
2030,Sales & Use Tax,Pierce Transit,103672695.633,Nominal
2031,Sales & Use Tax,Pierce Transit,108143396.43900001,Nominal
2032,Sales & Use Tax,Pierce Transit,112154481.77700001,Nominal
2033,Sales & Use Tax,Pierce Transit,116500046.988,Nominal
2034,Sales & Use Tax,Pierce Transit,121104389.32800001,Nominal
2035,Sales & Use Tax,Pierce Transit,125624203.224,Nominal
2036,Sales & Use Tax,Pierce Transit,130559326.95000002,Nominal
2037,Sales & Use Tax,Pierce Transit,136021004.106,Nominal
2038,Sales & Use Tax,Pierce Transit,141449856.561,Nominal
2039,Sales & Use Tax,Pierce Transit,146800041.453,Nominal
2040,Sales & Use Tax,Pierce Transit,152200431.474,Nominal
2041,Sales & Use Tax,Pierce Transit,157609826.751,Nominal
2042,Sales & Use Tax,Pierce Transit,163345960.791,Nominal
2043,Sales & Use Tax,Pierce Transit,169334862.333,Nominal
2044,Sales & Use Tax,Pierce Transit,175473945.777,Nominal
2045,Sales & Use Tax,Pierce Transit,181862019.261,Nominal
2046,Sales & Use Tax,Pierce Transit,188306156.57100004,Nominal
2047,Sales & Use Tax,Pierce Transit,194897201.694,Nominal
2048,Sales & Use Tax,Pierce Transit,201522969.57000002,Nominal
2049,Sales & Use Tax,Pierce Transit,208063068.99300003,Nominal
2050,Sales & Use Tax,Pierce Transit,214898534.136,Nominal
1989,MVET,Community Transit,8087999.999999999,Nominal
1989,MVET,King County Metro,52057000.0,Nominal
1989,MVET,Kitsap Transit,3151000.0,Nominal
1989,MVET,Pierce Transit,11386000.0,Nominal
1990,MVET,Community Transit,9743000.0,Nominal
1990,MVET,King County Metro,59018000.0,Nominal
1990,MVET,Kitsap Transit,3832000.0,Nominal
1990,MVET,Pierce Transit,13370000.0,Nominal
1991,MVET,Community Transit,10955000.0,Nominal
1991,MVET,King County Metro,62199000.0,Nominal
1991,MVET,Kitsap Transit,4080000.0,Nominal
1991,MVET,Pierce Transit,13953000.0,Nominal
1992,MVET,Community Transit,11725000.0,Nominal
1992,MVET,King County Metro,66528000.00000001,Nominal
1992,MVET,Kitsap Transit,4699000.0,Nominal
1992,MVET,Pierce Transit,14237000.0,Nominal
1993,MVET,Community Transit,11359000.0,Nominal
1993,MVET,King County Metro,64958000.0,Nominal
1993,MVET,Kitsap Transit,4694000.0,Nominal
1993,MVET,Pierce Transit,17265000.0,Nominal
1994,MVET,Community Transit,11931000.0,Nominal
1994,MVET,King County Metro,70912000.0,Nominal
1994,MVET,Kitsap Transit,5155000.0,Nominal
1994,MVET,Pierce Transit,18743000.0,Nominal
1995,MVET,Community Transit,13046911.0,Nominal
1995,MVET,King County Metro,74947000.0,Nominal
1995,MVET,Kitsap Transit,5464562.0,Nominal
1995,MVET,Pierce Transit,19509840.0,Nominal
1996,MVET,Community Transit,13697300.0,Nominal
1996,MVET,King County Metro,79422800.0,Nominal
1996,MVET,Kitsap Transit,5540400.0,Nominal
1996,MVET,Pierce Transit,20155500.0,Nominal
1997,MVET,Community Transit,15553689.0,Nominal
1997,MVET,King County Metro,85017652.0,Nominal
1997,MVET,Kitsap Transit,5797762.0,Nominal
1997,MVET,Pierce Transit,20918075.0,Nominal
1998,MVET,Community Transit,16973134.0,Nominal
1998,MVET,King County Metro,94340609.0,Nominal
1998,MVET,Kitsap Transit,7563206.0,Nominal
1998,MVET,Pierce Transit,23099360.0,Nominal
1999,MVET,Community Transit,18835958.0,Nominal
1999,MVET,Everett Transit,278417.0,Nominal
1999,MVET,King County Metro,98155447.0,Nominal
1999,MVET,Kitsap Transit,7895768.0,Nominal
1999,MVET,Pierce Transit,22609654.0,Nominal
2000,MVET,Community Transit,8679000.0,Nominal
2000,MVET,Everett Transit,193000.0,Nominal
2000,MVET,King County Metro,46731000.0,Nominal
2000,MVET,Kitsap Transit,54000.0,Nominal
2000,MVET,Pierce Transit,297000.0,Nominal
1989,Fares,Community Transit,7472607.996070075,Constant
1990,Fares,Community Transit,7617925.000557724,Constant
1991,Fares,Community Transit,8731295.995316545,Constant
1992,Fares,Community Transit,9359430.995860819,Constant
1993,Fares,Community Transit,9846437.003954565,Constant
1994,Fares,Community Transit,9685989.997981146,Constant
