Transit Agency,Year,Boardings
Community Transit,1989,4022714.0
Community Transit,1990,4138693.0
Community Transit,1991,4916127.0
Community Transit,1992,5057887.0
Community Transit,1993,5289549.0
Community Transit,1994,5489019.0
Community Transit,1995,6271773.0
Community Transit,1996,7043354.0
Community Transit,1997,8223713.0
Community Transit,1998,8515706.0
Community Transit,1999,8795925.0
Community Transit,2000,6226680.0
Community Transit,2001,9862672.0
Community Transit,2002,9553596.0
Community Transit,2003,9036802.0
Community Transit,2004,9890648.0
Community Transit,2005,10680990.0
Community Transit,2006,11681904.0
Community Transit,2007,12079046.0
Community Transit,2008,11918776.0
Community Transit,2009,11372498.0
Community Transit,2010,10041136.0
Community Transit,2011,9655130.0
Community Transit,2012,9093588.0
Community Transit,2013,9096345.0
Community Transit,2014,9810287.0
Community Transit,2015,10038230.0
Community Transit,2016,10251998.0
Community Transit,2017,10359529.0
Community Transit,2018,14374078.0
Community Transit,2019,14664569.180789951
Community Transit,2020,14960905.765917758
Community Transit,2021,15210021.64991628
Community Transit,2022,15463254.73175277
Community Transit,2023,15720706.670633104
Community Transit,2024,15982453.710961686
Community Transit,2025,16248546.682341458
Community Transit,2026,16492706.680053536
Community Transit,2027,16740526.409177143
Community Transit,2028,16992056.699315216
Community Transit,2029,17247373.794872157
Community Transit,2030,17506503.11064944
Community Transit,2031,17726264.89895134
Community Transit,2032,17948746.071010415
Community Transit,2033,18174048.286032543
Community Transit,2034,18402171.54401772
Community Transit,2035,18633141.25976742
Community Transit,2036,18846396.85889327
Community Transit,2037,19062066.86415867
Community Transit,2038,19280202.10516656
Community Transit,2039,19500853.41151987
Community Transit,2040,19723995.36841714
Community Transit,2041,19938979.17404288
Community Transit,2042,20156326.55620523
Community Transit,2043,20376012.100102723
Community Transit,2044,20598112.050139766
Community Transit,2045,20822600.991514888
Community Transit,2046,21030875.289552826
Community Transit,2047,21241233.60131122
Community Transit,2048,21453675.92679007
Community Transit,2049,21668253.09559231
Community Transit,2050,21884965.10771794
Everett Transit,1989,1293449.0
Everett Transit,1990,1514973.0
Everett Transit,1991,1815868.0
Everett Transit,1992,1880388.0
Everett Transit,1993,1951575.0
Everett Transit,1994,1805255.0
Everett Transit,1995,1897902.0
Everett Transit,1996,1623198.0
Everett Transit,1997,1510621.0
Everett Transit,1998,1525737.0
Everett Transit,1999,1437654.0
Everett Transit,2000,1553295.0
Everett Transit,2001,1616793.0
Everett Transit,2002,1566780.0
Everett Transit,2003,2005505.0
Everett Transit,2004,2017034.0
Everett Transit,2005,2048844.0
Everett Transit,2006,2208035.0
Everett Transit,2007,2331495.0
Everett Transit,2008,2628784.0
Everett Transit,2009,2603957.0
Everett Transit,2010,2403310.0
Everett Transit,2011,2454022.0
Everett Transit,2012,2394831.0
Everett Transit,2013,2117070.0
Everett Transit,2014,2091851.0
Everett Transit,2015,2066036.0
Everett Transit,2016,2067141.0
Everett Transit,2017,2025267.0
Everett Transit,2018,1929323.0
Everett Transit,2019,1978225.4998166584
Everett Transit,2020,2028366.037603359
Everett Transit,2021,2076543.400894707
Everett Transit,2022,2125870.3708725227
Everett Transit,2023,2176364.6337935207
Everett Transit,2024,2228043.8759144163
Everett Transit,2025,2280961.1560053537
Everett Transit,2026,2328218.8339475277
Everett Transit,2027,2376431.5697523053
Everett Transit,2028,2425652.4221898317
Everett Transit,2029,2475899.0775168217
Everett Transit,2030,2527171.5357332746
Everett Transit,2031,2570060.708266872
Everett Transit,2032,2613657.331069065
Everett Transit,2033,2658014.4629099974
Everett Transit,2034,2703096.7312762407
Everett Transit,2035,2748957.194937939
Everett Transit,2036,2790466.8394477754
Everett Transit,2037,2832577.816685918
Everett Transit,2038,2875343.185422511
Everett Transit,2039,2918745.25940084
Everett Transit,2040,2962784.0386209046
Everett Transit,2041,3004576.663238179
Everett Transit,2042,3046952.9343270445
Everett Transit,2043,3089930.5381442164
Everett Transit,2044,3133527.160946409
Everett Transit,2045,3177707.4302201937
Everett Transit,2046,3219040.2121628807
Everett Transit,2047,3260885.8955503
Everett Transit,2048,3303297.539152595
Everett Transit,2049,3346239.7704563374
Everett Transit,2050,3389747.9619749556
King County Metro,1989,77434636.0
King County Metro,1990,80317720.0
King County Metro,1991,80089274.0
King County Metro,1992,83692713.0
King County Metro,1993,83712089.0
King County Metro,1994,82564127.0
