Year,Transit Agency,Average Fare per Boarding ($)
1989,Community Transit,0.811889684
1990,Community Transit,0.854134385
1991,Community Transit,0.880978054
1992,Community Transit,0.952373985
1993,Community Transit,0.984393944
1994,Community Transit,0.963742337
1995,Community Transit,0.908719432
1996,Community Transit,0.857006477
1997,Community Transit,0.881508997
1998,Community Transit,0.960052989
1999,Community Transit,1.06924286
2000,Community Transit,1.806901912
2001,Community Transit,1.100107557
2002,Community Transit,1.189081054
2003,Community Transit,1.202859153
2004,Community Transit,1.366947848
2005,Community Transit,1.393129289
2006,Community Transit,1.382993731
2007,Community Transit,1.55831843
2008,Community Transit,1.480017747
2009,Community Transit,1.566762201
2010,Community Transit,1.918707206
2011,Community Transit,1.94818713
2012,Community Transit,1.938728695
2013,Community Transit,2.125029339
2014,Community Transit,2.015231563
2015,Community Transit,2.071978825
2016,Community Transit,2.135486175
2017,Community Transit,2.108590072
2018,Community Transit,1.558291252
2019,Community Transit,1.558291252
2020,Community Transit,1.558291252
2021,Community Transit,1.7878852188646752
2022,Community Transit,1.7878852188646752
2023,Community Transit,1.7878852188646752
2024,Community Transit,2.051306873302519
2025,Community Transit,2.051306873302519
2026,Community Transit,2.051306873302519
2027,Community Transit,2.353540285505682
2028,Community Transit,2.353540285505682
2029,Community Transit,2.353540285505682
2030,Community Transit,2.700303863643942
2031,Community Transit,2.700303863643942
2032,Community Transit,2.700303863643942
2033,Community Transit,3.0981585490234
2034,Community Transit,3.0981585490234
2035,Community Transit,3.0981585490234
2036,Community Transit,3.5546319523958703
2037,Community Transit,3.5546319523958703
2038,Community Transit,3.5546319523958703
2039,Community Transit,4.078360780140385
2040,Community Transit,4.078360780140385
2041,Community Transit,4.078360780140385
2042,Community Transit,4.67925424509179
2043,Community Transit,4.67925424509179
2044,Community Transit,4.67925424509179
2045,Community Transit,5.368681553831501
2046,Community Transit,5.368681553831501
2047,Community Transit,5.368681553831501
2048,Community Transit,6.159687017794268
2049,Community Transit,6.159687017794268
2050,Community Transit,6.159687017794268
1989,Everett Transit,0.214929232
1990,Everett Transit,0.200663642
1991,Everett Transit,0.185035476
1992,Everett Transit,0.189854434
1993,Everett Transit,0.224434111
1994,Everett Transit,0.222129284
1995,Everett Transit,0.289782613
1996,Everett Transit,0.376971879
