Year,Transit Agency,Average Fare per Boarding ($)
1997,Everett Transit,0.467573932
1998,Everett Transit,0.49140907
1999,Everett Transit,0.490877499
2000,Everett Transit,0.509240035
2001,Everett Transit,0.500991778
2002,Everett Transit,0.516983878
2003,Everett Transit,0.508600078
2004,Everett Transit,0.540397435
2005,Everett Transit,0.522245715
2006,Everett Transit,0.487311116
2007,Everett Transit,0.469655736
2008,Everett Transit,0.43061735
2009,Everett Transit,0.431266722
2010,Everett Transit,0.545497668
2011,Everett Transit,0.525667659
2012,Everett Transit,0.551187119
2013,Everett Transit,0.76048501
2014,Everett Transit,0.745750655
2015,Everett Transit,0.733288287
2016,Everett Transit,0.673393507
2017,Everett Transit,0.646828295
2018,Everett Transit,0.634419431
2019,Everett Transit,0.634419431
2020,Everett Transit,0.634419431
2021,Everett Transit,0.634419431
2022,Everett Transit,0.7860130700251508
2023,Everett Transit,0.7860130700251508
2024,Everett Transit,0.7860130700251508
2025,Everett Transit,0.7860130700251508
2026,Everett Transit,0.9738297978618541
2027,Everett Transit,0.9738297978618541
2028,Everett Transit,0.9738297978618541
2029,Everett Transit,0.9738297978618541
2030,Everett Transit,1.2065250711076785
2031,Everett Transit,1.2065250711076785
2032,Everett Transit,1.2065250711076785
2033,Everett Transit,1.2065250711076785
2034,Everett Transit,1.4948225556535006
2035,Everett Transit,1.4948225556535006
2036,Everett Transit,1.4948225556535006
2037,Everett Transit,1.4948225556535006
2038,Everett Transit,1.852008322412259
2039,Everett Transit,1.852008322412259
2040,Everett Transit,1.852008322412259
2041,Everett Transit,1.852008322412259
2042,Everett Transit,2.29454313042847
2043,Everett Transit,2.29454313042847
2044,Everett Transit,2.29454313042847
2045,Everett Transit,2.29454313042847
2046,Everett Transit,2.842821014183598
2047,Everett Transit,2.842821014183598
2048,Everett Transit,2.842821014183598
2049,Everett Transit,2.842821014183598
2050,Everett Transit,3.5221091342810125
1989,King County Metro,0.474413026
1990,King County Metro,0.510920878
1991,King County Metro,0.60247768
1992,King County Metro,0.611367444
1993,King County Metro,0.66560279
1994,King County Metro,0.658021855
1995,King County Metro,0.659099274
1996,King County Metro,0.61538625
1997,King County Metro,0.62096286
1998,King County Metro,0.663033824
1999,King County Metro,0.66011415
2000,King County Metro,0.670463976
2001,King County Metro,0.725047481
2002,King County Metro,0.778428512
2003,King County Metro,0.72157813
2004,King County Metro,0.77805044
2005,King County Metro,0.756370305
2006,King County Metro,0.752255786
2007,King County Metro,0.769627056
2008,King County Metro,0.899865572
2009,King County Metro,1.060670532
2010,King County Metro,1.140136075
2011,King County Metro,1.192878188
2012,King County Metro,1.2790919
2013,King County Metro,1.294807652
2014,King County Metro,1.353115002
2015,King County Metro,1.333459773
2016,King County Metro,1.364877366
2017,King County Metro,1.363943606
2018,King County Metro,1.370388895
2019,King County Metro,1.370388895
2020,King County Metro,1.370388895
2021,King County Metro,1.5424362833847198
2022,King County Metro,1.5424362833847198
2023,King County Metro,1.5424362833847198
2024,King County Metro,1.7360836015105532
2025,King County Metro,1.7360836015105532
2026,King County Metro,1.7360836015105532
2027,King County Metro,1.9540426427339785
2028,King County Metro,1.9540426427339785
2029,King County Metro,1.9540426427339785
2030,King County Metro,2.1993656562970423
2031,King County Metro,2.1993656562970423
2032,King County Metro,2.1993656562970423
2033,King County Metro,2.475488090337163
2034,King County Metro,2.475488090337163
2035,King County Metro,2.475488090337163
2036,King County Metro,2.7862767011278144
2037,King County Metro,2.7862767011278144
2038,King County Metro,2.7862767011278144
2039,King County Metro,3.136083702261046
2040,King County Metro,3.136083702261046
2041,King County Metro,3.136083702261046
2042,King County Metro,3.5298077120647706
2043,King County Metro,3.5298077120647706
2044,King County Metro,3.5298077120647706
2045,King County Metro,3.972962352748711
2046,King County Metro,3.972962352748711
2047,King County Metro,3.972962352748711
2048,King County Metro,4.471753461925954
2049,King County Metro,4.471753461925954
2050,King County Metro,4.471753461925954
1989,Kitsap Transit,0.309010212
1990,Kitsap Transit,0.289313586
1991,Kitsap Transit,0.39185149
1992,Kitsap Transit,0.423389144
1993,Kitsap Transit,0.363358295
1994,Kitsap Transit,0.296548884
1995,Kitsap Transit,0.309457576
1996,Kitsap Transit,0.384680086
1997,Kitsap Transit,0.318572422
1998,Kitsap Transit,0.328624448
1999,Kitsap Transit,0.267137421
2000,Kitsap Transit,0.738144056
2001,Kitsap Transit,0.526300167
2002,Kitsap Transit,0.422803604
2003,Kitsap Transit,0.392136281
2004,Kitsap Transit,0.466066852
2005,Kitsap Transit,0.49286095
2006,Kitsap Transit,0.731755506
2007,Kitsap Transit,0.767147277
2008,Kitsap Transit,0.871071392
2009,Kitsap Transit,1.396176333
2010,Kitsap Transit,2.044649132
2011,Kitsap Transit,2.013804733
2012,Kitsap Transit,1.863942092
2013,Kitsap Transit,1.733539899
2014,Kitsap Transit,1.767217769
2015,Kitsap Transit,1.749378631
2016,Kitsap Transit,1.533799888
2017,Kitsap Transit,1.603179362
2018,Kitsap Transit,1.71961949
2019,Kitsap Transit,1.71961949
2020,Kitsap Transit,1.71961949
2021,Kitsap Transit,1.71961949
2022,Kitsap Transit,1.71961949
2023,Kitsap Transit,1.71961949
2024,Kitsap Transit,2.1403976359009027
2025,Kitsap Transit,2.1403976359009027
2026,Kitsap Transit,2.1403976359009027
2027,Kitsap Transit,2.1403976359009027
2028,Kitsap Transit,2.1403976359009027
2029,Kitsap Transit,2.1403976359009027
2030,Kitsap Transit,2.664137075912167
2031,Kitsap Transit,2.664137075912167
2032,Kitsap Transit,2.664137075912167
2033,Kitsap Transit,2.664137075912167
2034,Kitsap Transit,2.664137075912167
2035,Kitsap Transit,2.664137075912167
2036,Kitsap Transit,3.3160316757042247
2037,Kitsap Transit,3.3160316757042247
2038,Kitsap Transit,3.3160316757042247
2039,Kitsap Transit,3.3160316757042247
2040,Kitsap Transit,3.3160316757042247
2041,Kitsap Transit,3.3160316757042247
2042,Kitsap Transit,4.127440053177013
2043,Kitsap Transit,4.127440053177013
2044,Kitsap Transit,4.127440053177013
2045,Kitsap Transit,4.127440053177013
2046,Kitsap Transit,4.127440053177013
2047,Kitsap Transit,4.127440053177013
2048,Kitsap Transit,5.137394047646419
2049,Kitsap Transit,5.137394047646419
2050,Kitsap Transit,5.137394047646419
1989,Pierce Transit,0.334518152
1990,Pierce Transit,0.348672174
1991,Pierce Transit,0.461920015
1992,Pierce Transit,0.480213126
1993,Pierce Transit,0.513555047
1994,Pierce Transit,0.433237183
1995,Pierce Transit,0.340386173
1996,Pierce Transit,0.591363278
1997,Pierce Transit,0.600102558
1998,Pierce Transit,0.637292034
1999,Pierce Transit,0.646942627
2000,Pierce Transit,0.50415649
2001,Pierce Transit,0.432718939
2002,Pierce Transit,0.506776751
2003,Pierce Transit,0.51935494
2004,Pierce Transit,0.618076936
2005,Pierce Transit,0.59033766
2006,Pierce Transit,0.737901255
2007,Pierce Transit,0.744657211
2008,Pierce Transit,0.866900214
2009,Pierce Transit,1.011589288
2010,Pierce Transit,0.949354186
2011,Pierce Transit,1.004116058
2012,Pierce Transit,1.031425214
2013,Pierce Transit,1.053504008
2014,Pierce Transit,1.060765256
2015,Pierce Transit,1.223514221
2016,Pierce Transit,1.219996014
2017,Pierce Transit,1.25414678
2018,Pierce Transit,1.233718996
2019,Pierce Transit,1.233718996
2020,Pierce Transit,1.233718996
2021,Pierce Transit,1.233718996
2022,Pierce Transit,1.233718996
2023,Pierce Transit,1.4671474079572142
2024,Pierce Transit,1.4671474079572142
2025,Pierce Transit,1.4671474079572142
2026,Pierce Transit,1.4671474079572142
2027,Pierce Transit,1.4671474079572142
2028,Pierce Transit,1.7447421363005196
2029,Pierce Transit,1.7447421363005196
2030,Pierce Transit,1.7447421363005196
2031,Pierce Transit,1.7447421363005196
2032,Pierce Transit,1.7447421363005196
2033,Pierce Transit,2.074859762333626
2034,Pierce Transit,2.074859762333626
2035,Pierce Transit,2.074859762333626
2036,Pierce Transit,2.074859762333626
2037,Pierce Transit,2.074859762333626
2038,Pierce Transit,2.4674379920000042
2039,Pierce Transit,2.4674379920000042
2040,Pierce Transit,2.4674379920000042
2041,Pierce Transit,2.4674379920000042
2042,Pierce Transit,2.4674379920000042
2043,Pierce Transit,2.9342948159144338
2044,Pierce Transit,2.9342948159144338
2045,Pierce Transit,2.9342948159144338
2046,Pierce Transit,2.9342948159144338
2047,Pierce Transit,2.9342948159144338
2048,Pierce Transit,3.489484272601046
2049,Pierce Transit,3.489484272601046
2050,Pierce Transit,3.489484272601046
