Transit Agency,Year,Boardings
Community Transit,1989,4022714
Everett Transit,1989,1293449
King County Metro,1989,77434636
Kitsap Transit,1989,2397979
Pierce Transit,1989,10531566
Community Transit,1990,4138693
Everett Transit,1990,1514973
King County Metro,1990,80317720
Kitsap Transit,1990,2699493
Pierce Transit,1990,10726408
Community Transit,1991,4916127
Everett Transit,1991,1815868
King County Metro,1991,80089274
Kitsap Transit,1991,3197640
Pierce Transit,1991,10064513
Community Transit,1992,5057887
Everett Transit,1992,1880388
King County Metro,1992,83692713
Kitsap Transit,1992,3299565
Pierce Transit,1992,10459939
Community Transit,1993,5289549
Everett Transit,1993,1951575
King County Metro,1993,83712089
Kitsap Transit,1993,3239227
Pierce Transit,1993,10653191
Community Transit,1994,5489019
Everett Transit,1994,1805255
King County Metro,1994,82564127
Kitsap Transit,1994,4036434
Pierce Transit,1994,12824384
Community Transit,1995,6271773
Everett Transit,1995,1897902
King County Metro,1995,83503354
Kitsap Transit,1995,4576162
Pierce Transit,1995,18521381
Community Transit,1996,7043354
Everett Transit,1996,1623198
King County Metro,1996,90533872
Kitsap Transit,1996,5284651
Pierce Transit,1996,12265557
Community Transit,1997,8223713
Everett Transit,1997,1510621
King County Metro,1997,91502735
Kitsap Transit,1997,5351386
Pierce Transit,1997,13215956
Community Transit,1998,8515706
Everett Transit,1998,1525737
King County Metro,1998,93990113
Kitsap Transit,1998,5229617
Pierce Transit,1998,13931340
Community Transit,1999,8795925
Everett Transit,1999,1437654
King County Metro,1999,99675388
Kitsap Transit,1999,5564825
Pierce Transit,1999,14802985
Community Transit,2000,6226680
Everett Transit,2000,1553295
King County Metro,2000,103030144
Kitsap Transit,2000,3785169
Pierce Transit,2000,14638312
Community Transit,2001,9862672
Everett Transit,2001,1616793
King County Metro,2001,101000282
Kitsap Transit,2001,4009119
Pierce Transit,2001,14628433
Community Transit,2002,9553596
Everett Transit,2002,1566780
King County Metro,2002,97516983
Kitsap Transit,2002,4375554
Pierce Transit,2002,14049579
Community Transit,2003,9036802
Everett Transit,2003,2005505
King County Metro,2003,98547887
Kitsap Transit,2003,5049265
Pierce Transit,2003,14383227
Community Transit,2004,9890648
Everett Transit,2004,2017034
King County Metro,2004,102088497
Kitsap Transit,2004,5170932
Pierce Transit,2004,15159925
Community Transit,2005,10680990
Everett Transit,2005,2048844
King County Metro,2005,103777210
Kitsap Transit,2005,5313872
Pierce Transit,2005,15408131
Community Transit,2006,11681904
Everett Transit,2006,2208035
King County Metro,2006,106272363
Kitsap Transit,2006,5106897
Pierce Transit,2006,15605069
Community Transit,2007,12079046
Everett Transit,2007,2331495
King County Metro,2007,113647252
Kitsap Transit,2007,5079859
Pierce Transit,2007,16614356
Community Transit,2008,11918776
Everett Transit,2008,2628784
King County Metro,2008,122976146
Kitsap Transit,2008,5377286
Pierce Transit,2008,16289072
Community Transit,2009,11372498
Everett Transit,2009,2603957
King County Metro,2009,115834273
Kitsap Transit,2009,4580367
Pierce Transit,2009,15560663
Community Transit,2010,10041136
Everett Transit,2010,2403310
King County Metro,2010,113637313
Kitsap Transit,2010,3890154
Pierce Transit,2010,15279861
Community Transit,2011,9655130
Everett Transit,2011,2454022
King County Metro,2011,117086557
Kitsap Transit,2011,3932854
Pierce Transit,2011,13444661
Community Transit,2012,9093588
Everett Transit,2012,2394831
King County Metro,2012,119952288
Kitsap Transit,2012,3852051
Pierce Transit,2012,11847684
Community Transit,2013,9096345
Everett Transit,2013,2117070
King County Metro,2013,123192043
Kitsap Transit,2013,3928378
Pierce Transit,2013,11646847
Community Transit,2014,9810287
Everett Transit,2014,2091851
King County Metro,2014,125340418
Kitsap Transit,2014,3808246
Pierce Transit,2014,11510558
Community Transit,2015,10038230
Everett Transit,2015,2066036
King County Metro,2015,126268526
Kitsap Transit,2015,3813354
Pierce Transit,2015,10321907
Community Transit,2016,10251998
Everett Transit,2016,2067141
King County Metro,2016,126782819
Kitsap Transit,2016,3544139
Pierce Transit,2016,9764786
Community Transit,2017,10359529
Everett Transit,2017,2025267
King County Metro,2017,127354239
Kitsap Transit,2017,3615316
Pierce Transit,2017,9678293
Community Transit,2018,14374078
Everett Transit,2018,1929323
King County Metro,2018,128389832
Kitsap Transit,2018,3828754
Pierce Transit,2018,9738036
