Transit Agency,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Community Transit,0.811889684,0.854134385,0.880978054,0.952373985,0.984393944,0.963742337,0.908719432,0.857006477,0.881508997,0.960052989,1.06924286,1.806901912,1.100107557,1.189081054,1.202859153,1.366947848,1.393129289,1.382993731,1.55831843,1.480017747,1.566762201,1.918707206,1.94818713,1.938728695,2.125029339,2.015231563,2.071978825,2.135486175,2.108590072,1.558291252
Everett Transit,0.214929232,0.200663642,0.185035476,0.189854434,0.224434111,0.222129284,0.289782613,0.376971879,0.467573932,0.49140907,0.490877499,0.509240035,0.500991778,0.516983878,0.508600078,0.540397435,0.522245715,0.487311116,0.469655736,0.43061735,0.431266722,0.545497668,0.525667659,0.551187119,0.76048501,0.745750655,0.733288287,0.673393507,0.646828295,0.634419431
King County Metro,0.474413026,0.510920878,0.60247768,0.611367444,0.66560279,0.658021855,0.659099274,0.61538625,0.62096286,0.663033824,0.66011415,0.670463976,0.725047481,0.778428512,0.72157813,0.77805044,0.756370305,0.752255786,0.769627056,0.899865572,1.060670532,1.140136075,1.192878188,1.2790919,1.294807652,1.353115002,1.333459773,1.364877366,1.363943606,1.370388895
Kitsap Transit,0.309010212,0.289313586,0.39185149,0.423389144,0.363358295,0.296548884,0.309457576,0.384680086,0.318572422,0.328624448,0.267137421,0.738144056,0.526300167,0.422803604,0.392136281,0.466066852,0.49286095,0.731755506,0.767147277,0.871071392,1.396176333,2.044649132,2.013804733,1.863942092,1.733539899,1.767217769,1.749378631,1.533799888,1.603179362,1.71961949
Pierce Transit,0.334518152,0.348672174,0.461920015,0.480213126,0.513555047,0.433237183,0.340386173,0.591363278,0.600102558,0.637292034,0.646942627,0.50415649,0.432718939,0.506776751,0.51935494,0.618076936,0.59033766,0.737901255,0.744657211,0.866900214,1.011589288,0.949354186,1.004116058,1.031425214,1.053504008,1.060765256,1.223514221,1.219996014,1.25414678,1.233718996
