County,PopulationArea,Year,Population
Kitsap County,Total,2009,251249
Kitsap County,PTBA,2009,235809
Pierce County,Cities,2009,426175
Pierce County,Unincorp.,2009,370725
Pierce County,Total,2009,796900
Pierce County,PTBA,2009,711338
Pierce County,Sound Transit,2009,647958
Snohomish County,Cities,2009,376418
Snohomish County,Unincorp.,2009,329476
Snohomish County,Total,2009,705894
Snohomish County,PTBA,2009,491703
Snohomish County,Sound Transit,2009,411126
Snohomish County,City Transit,2009,94020
King County,Cities,2010,1606249
King County,Unincorp.,2010,325000
King County,Total,2010,1931249
King County,PTBA,2010,1931249
King County,Sound Transit,2010,1692697
Kitsap County,Cities,2010,81111
Kitsap County,Unincorp.,2010,170022
Kitsap County,Total,2010,251133
Kitsap County,PTBA,2010,237921
Pierce County,Cities,2010,428487
Pierce County,Unincorp.,2010,366738
Pierce County,Total,2010,795225
Pierce County,PTBA,2010,724095
Pierce County,Sound Transit,2010,659385
Snohomish County,Cities,2010,411043
Snohomish County,Unincorp.,2010,302292
Snohomish County,Total,2010,713335
Snohomish County,PTBA,2010,502329
Snohomish County,Sound Transit,2010,419173
Snohomish County,City Transit,2010,95356
King County,Cities,2011,1657335
King County,Unincorp.,2011,285265
King County,Total,2011,1942600
King County,PTBA,2011,1942600
King County,Sound Transit,2011,1703816
Kitsap County,Cities,2011,82505
Kitsap County,Unincorp.,2011,171395
Kitsap County,Total,2011,253900
Kitsap County,PTBA,2011,240052
Pierce County,Cities,2011,430040
Pierce County,Unincorp.,2011,372110
Pierce County,Total,2011,802150
Pierce County,PTBA,2011,665213
Pierce County,Sound Transit,2011,662878
Snohomish County,Cities,2011,412565
Snohomish County,Unincorp.,2011,304435
Snohomish County,Total,2011,717000
Snohomish County,PTBA,2011,507196
Snohomish County,Sound Transit,2011,422604
Snohomish County,City Transit,2011,96180
King County,Cities,2012,1701280
King County,Unincorp.,2012,255720
King County,Total,2012,1957000
King County,PTBA,2012,1957000
King County,Sound Transit,2012,1715009
Kitsap County,Cities,2012,83880
Kitsap County,Unincorp.,2012,170620
Kitsap County,Total,2012,254500
Kitsap County,PTBA,2012,242202
Pierce County,Cities,2012,432245
Pierce County,Unincorp.,2012,375955
Pierce County,Total,2012,808200
Pierce County,PTBA,2012,611119
Pierce County,Sound Transit,2012,666389
Snohomish County,Cities,2012,414455
Snohomish County,Unincorp.,2012,308445
Snohomish County,Total,2012,722900
Snohomish County,PTBA,2012,512110
Snohomish County,Sound Transit,2012,426064
Snohomish County,City Transit,2012,97010
King County,Cities,2013,1728800
King County,Unincorp.,2013,253100
King County,Total,2013,1981900
King County,PTBA,2013,1981900
King County,Sound Transit,2013,1726275
Kitsap County,Cities,2013,83495
Kitsap County,Unincorp.,2013,170505
Kitsap County,Total,2013,254000
Kitsap County,PTBA,2013,244371
Pierce County,Cities,2013,436005
Pierce County,Unincorp.,2013,378495
Pierce County,Total,2013,814500
Pierce County,PTBA,2013,561424
Pierce County,Sound Transit,2013,669920
Snohomish County,Cities,2013,418000
Snohomish County,Unincorp.,2013,312500
Snohomish County,Total,2013,730500
Snohomish County,PTBA,2013,517072
Snohomish County,Sound Transit,2013,429553
Snohomish County,City Transit,2013,97848
King County,Cities,2014,1739734
King County,Unincorp.,2014,228601
King County,Total,2014,1968335
King County,PTBA,2014,1967639
King County,Sound Transit,2014,1737615
Kitsap County,Cities,2014,79099
Kitsap County,Unincorp.,2014,167468
Kitsap County,Total,2014,246567
Kitsap County,PTBA,2014,246560
Pierce County,Cities,2014,429649
Pierce County,Unincorp.,2014,370352
Pierce County,Total,2014,800001
Pierce County,PTBA,2014,515771
Pierce County,Sound Transit,2014,673469
Snohomish County,Cities,2014,409015
Snohomish County,Unincorp.,2014,321495
Snohomish County,Total,2014,730510
Snohomish County,PTBA,2014,522082
Snohomish County,Sound Transit,2014,433070
Snohomish County,City Transit,2014,98694
King County,Cities,2015,1799520
King County,Unincorp.,2015,253280
King County,Total,2015,2052800
King County,PTBA,2015,2052800
King County,Sound Transit,2015,1772599
Kitsap County,Cities,2015,86260
Kitsap County,Unincorp.,2015,171940
Kitsap County,Total,2015,258200
Kitsap County,PTBA,2015,249448
Pierce County,Cities,2015,444070
Pierce County,Unincorp.,2015,386050
Pierce County,Total,2015,830120
Pierce County,PTBA,2015,523075
Pierce County,Sound Transit,2015,684213
Snohomish County,Cities,2015,427340
Snohomish County,Unincorp.,2015,330260
Snohomish County,Total,2015,757600
Snohomish County,PTBA,2015,532632
Snohomish County,Sound Transit,2015,442528
Snohomish County,City Transit,2015,101195
King County,Cities,2016,1859180
King County,Unincorp.,2016,245920
King County,Total,2016,2105100
King County,PTBA,2016,2105100
King County,Sound Transit,2016,1808287
Kitsap County,Cities,2016,88280
Kitsap County,Unincorp.,2016,174310
Kitsap County,Total,2016,262590
Kitsap County,PTBA,2016,252370
Pierce County,Cities,2016,452230
Pierce County,Unincorp.,2016,392260
Pierce County,Total,2016,844490
Pierce County,PTBA,2016,530483
Pierce County,Sound Transit,2016,695128
Snohomish County,Cities,2016,433865
Snohomish County,Unincorp.,2016,338995
Snohomish County,Total,2016,772860
Snohomish County,PTBA,2016,543395
Snohomish County,Sound Transit,2016,452192
Snohomish County,City Transit,2016,103760
King County,Cities,2017,1906640
King County,Unincorp.,2017,247060
King County,Total,2017,2153700
King County,PTBA,2017,2153700
King County,Sound Transit,2017,1844695
Kitsap County,Cities,2017,89080
Kitsap County,Unincorp.,2017,175220
Kitsap County,Total,2017,264300
Kitsap County,PTBA,2017,255326
Pierce County,Cities,2017,458920
Pierce County,Unincorp.,2017,400480
Pierce County,Total,2017,859400
Pierce County,PTBA,2017,537996
Pierce County,Sound Transit,2017,706218
Snohomish County,Cities,2017,439600
Snohomish County,Unincorp.,2017,349800
Snohomish County,Total,2017,789400
Snohomish County,PTBA,2017,554376
Snohomish County,Sound Transit,2017,462068
Snohomish County,City Transit,2017,106389
King County,Cities,2018,1942960
King County,Unincorp.,2018,247240
King County,Total,2018,2190200
King County,PTBA,2018,2190200
King County,Sound Transit,2018,1881835
Kitsap County,Cities,2018,90830
Kitsap County,Unincorp.,2018,176290
Kitsap County,Total,2018,267120
Kitsap County,PTBA,2018,258316
Pierce County,Cities,2018,463200
Pierce County,Unincorp.,2018,409020
Pierce County,Total,2018,872220
Pierce County,PTBA,2018,545615
Pierce County,Sound Transit,2018,717485
Snohomish County,Cities,2018,447565
Snohomish County,Unincorp.,2018,357555
Snohomish County,Total,2018,805120
Snohomish County,PTBA,2018,565579
Snohomish County,Sound Transit,2018,472160
Snohomish County,City Transit,2018,109086
King County,Cities,2020,1957444
King County,Unincorp.,2020,251039
King County,Total,2020,2208483
King County,PTBA,2020,2207662
King County,Sound Transit,2020,1958374
Kitsap County,Cities,2020,86410
Kitsap County,Unincorp.,2020,178001
Kitsap County,Total,2020,264411
Kitsap County,PTBA,2020,264404
Pierce County,Cities,2020,478316
Pierce County,Unincorp.,2020,400269
Pierce County,Total,2020,878585
Pierce County,PTBA,2020,561179
Pierce County,Sound Transit,2020,740561
Snohomish County,Cities,2020,461575
Snohomish County,Unincorp.,2020,363522
Snohomish County,Total,2020,825097
Snohomish County,PTBA,2020,588669
Snohomish County,Sound Transit,2020,493009
Snohomish County,City Transit,2020,114686
King County,Cities,2025,2096102
King County,Unincorp.,2025,257333
King County,Total,2025,2353435
King County,PTBA,2025,2352562
King County,Sound Transit,2025,2096356
Kitsap County,Cities,2025,93418
Kitsap County,Unincorp.,2025,186878
Kitsap County,Total,2025,280296
Kitsap County,PTBA,2025,280289
Pierce County,Cities,2025,524839
