County,PopulationArea,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2025,2030,2035,2040,2045,2050
King County,Cities,1387812,1404829,1427263,1436622,1443623,1455474,1481836,1508783,1559103,1580145,1606249,1657335,1701280,1728800,1739734,1799520,1859180,1906640,1942960,1957444,2096102,2230693,2351847,2468605,2586373,2702610
King County,Unincorp.,349234,350658,350251,351460,357160,359525,363373,362315,332022,329060,325000,285265,255720,253100,228601,253280,245920,247060,247240,251039,257333,263441,268980,274316,279618,284882
King County,Total,1737046,1755487,1777514,1788082,1800783,1814999,1845209,1871098,1891125,1909205,1931249,1942600,1957000,1981900,1968335,2052800,2105100,2153700,2190200,2208483,2353435,2494134,2620827,2742921,2865991,2987492
King County,PTBA,1737046,1755487,1777514,1788082,1800783,1814999,1845209,1871098,1891125,1909205,1931249,1942600,1957000,1981900,1967639,2052800,2105100,2153700,2190200,2207662,2352562,2493168,2619851,2741918,2865017,2986514
King County,Sound Transit,1466331.824,1487534.22,1509043.191,1530863.171,1552998.656,1575454.209,1598234.457,1621344.096,1644787.888,1668570.666,1692697.33,1703816.702,1715009.117,1726275.055,1737615,1772599.286,1808287.928,1844695.107,1881835.291,1958374,2096356,2230373,2351067,2467500,2584728,2700573
Kitsap County,Cities,72073,73267,74050,75332,75136,72670,74657,76131,77865,78836,81111,82505,83880,83495,79099,86260,88280,89080,90830,86410,93418,100197,106291,112210,118141,124031
Kitsap County,Unincorp.,159896,160651,162606,164111,165641,167149,169392,171345,172040,172413,170022,171395,170620,170505,167468,171940,174310,175220,176290,178001,186878,195468,203243,210708,218244,225729
Kitsap County,Total,231969,233918,236656,239443,240777,239819,244049,247476,249905,251249,251133,253900,254500,254000,246567,258200,262590,264300,267120,264411,280296,295665,309534,322918,336385,349760
Kitsap County,PTBA,217627,219576.0192,221542.4933,223526.5787,225528.4332,227548.2158,229586.0872,231642.2093,233716.7455,235809.8609,237921.7217,240052.4959,242202.3528,244371.4634,246560,249448.0929,252370.0156,255326.1644,258316.9402,264404,280289,295658,309529,322913,336376,349753
Pierce County,Cities,385459,388498,394188,398332,401658,406460,414678,420426,423078,426175,428487,430040,432245,436005,429649,444070,452230,458920,463200,478316,524839,569988,610614,649781,689264,728289
Pierce County,Unincorp.,315359,320790,326936,333637,342043,350459,359372,366485,371252,370725,366738,372110,375955,378495,370352,386050,392260,400480,409020,400269,414054,427463,439508,451139,462867,474487
Pierce County,Total,700818,709288,721124,731969,743701,756919,774050,786911,794330,796900,795225,802150,808200,814500,800001,830120,844490,859400,872220,878585,938893,997451,1050122,1100920,1152131,1202776
Pierce County,PTBA,606175.3277,617046.6871,628113.0173,639377.8148,650844.6391,662517.1135,674398.9261,686493.8312,698805.6506,711338.2745,724095.6628,665213.7071,611119.9097,561424.9077,515771,523075.447,530483.3409,537996.1468,545615.3506,561179,607493,651852,692732,731757,771177,810165
Pierce County,Sound Transit,553629.4323,563392.6501,573328.0416,583438.6431,593727.5443,604197.8896,614852.8788,625695.7679,636729.8707,647958.5592,659385.2648,662878.3437,666389.9271,669920.113,673469,684213.2513,695128.9121,706218.7169,717485.444,740561,797252,852423,901989,949816,998040,1045598
Snohomish County,Cities,314882,325027,329032,333163,335309,340862,355994,368259,372948,376418,411043,412565,414455,418000,409015,427340,433865,439600,447565,461575,510653,558328,601232,642616,684310,725516
Snohomish County,Unincorp.,291142,292837,300255,306779,313469,320484,320132,321055,326382,329476,302292,304435,308445,312500,321495,330260,338995,349800,357555,363522,385318,406421,425461,443770,462281,480505
Snohomish County,Total,606024,617864,629287,639942,648778,661346,676126,689314,699330,705894,713335,717000,722900,730500,730510,757600,772860,789400,805120,825097,895971,964749,1026693,1086386,1146591,1206021
Snohomish County,PTBA,405635.8705,414401.7231,423357.0071,432505.8161,441852.3323,451400.8281,461155.6683,471121.3122,481302.3151,491703.331,502329.1144,507196.1434,512110.3286,517072.1271,522082,532632.253,543395.7058,554376.6669,565579.5318,588669,639334,688831,733161,776083,819310,861111
Snohomish County,Sound Transit,345315.9628,352074.3086,358964.9253,365990.4015,373153.3768,380456.5421,387902.6411,395494.4714,403234.8851,411126.7901,419173.1515,422604.9876,426064.9208,429553.1809,433070,442528.1388,452192.841,462068.6179,472160.0792,493009,538630,582532,622125,660593,699443,737650
Snohomish County,City Transit,82806.4517,83983.2886,85176.8506,86387.37538,87615.10402,88860.281,90123.15432,91403.97547,92702.99952,94020.48516,95356.69478,96180.28945,97010.99749,97848.88035,98694,101195.3818,103760.1608,106389.9435,109086.3777,114686,128968,142889,155429,167519,179671,191660
