Year,PV factor,CPI
1975, 5.312 , 0.5066 
1976, 5.047 , 0.5332 
1977, 4.658 , 0.5778 
1978, 4.241 , 0.6345 
1979, 3.864 , 0.6965 
1980, 3.288 , 0.8185 
1981, 2.988 , 0.9008 
1982, 2.725 , 0.9876 
1983, 2.727 , 0.9867 
1984, 2.622 , 1.0263 
1985, 2.557 , 1.0526 
1986, 2.537 , 1.0608 
1987, 2.478 , 1.0860 
1988, 2.396 , 1.1230 
1989, 2.288 , 1.1760 
1990, 2.155 , 1.2490 
1991, 2.016 , 1.3350 
1992, 1.943 , 1.3850 
1993, 1.891 , 1.4230 
1994, 1.831 , 1.4700 
1995, 1.774 , 1.5170 
1996, 1.722 , 1.5630 
1997, 1.659 , 1.6220 
1998, 1.612 , 1.6695 
1999, 1.561 , 1.7245 
2000, 1.508 , 1.7850 
2001, 1.453 , 1.8525 
2002, 1.423 , 1.8910 
2003, 1.402 , 1.9200 
2004, 1.381 , 1.9480 
2005, 1.342 , 2.0055 
2006, 1.295 , 2.0780 
2007, 1.248 , 2.1564 
2008, 1.193 , 2.2563 
2009, 1.188 , 2.2659 
2010, 1.189 , 2.2632 
2011, 1.159 , 2.3228 
2012, 1.127 , 2.3874 
2013, 1.113 , 2.4182 
2014, 1.089 , 2.4713 
2015, 1.078 , 2.4962 
2016, 1.056 , 2.5496 
2017, 1.024 , 2.6274 
2018, 1.000 , 2.6911 
2019, 0.981 , 2.7437 
2020, 0.963 , 2.7943 
2021, 0.952 , 2.8279 
2022, 0.942 , 2.8556 
2023, 0.935 , 2.8797 
2024, 0.927 , 2.9023 
2025, 0.919 , 2.9275 
2026, 0.910 , 2.9561 
2027, 0.901 , 2.9854 
2028, 0.893 , 3.0144 
2029, 0.883 , 3.0478 
2030, 0.872 , 3.0868 
2031, 0.859 , 3.1313 
2032, 0.846 , 3.1822 
2033, 0.831 , 3.2368 
2034, 0.816 , 3.2977 
2035, 0.799 , 3.3668 
2036, 0.782 , 3.4415 
2037, 0.764 , 3.5221 
2038, 0.746 , 3.6074 
2039, 0.727 , 3.7013 
2040, 0.709 , 3.7974 
2041, 0.691 , 3.8958 
2042, 0.673 , 3.9993 
2043, 0.655 , 4.1074 
2044, 0.637 , 4.2218 
2045, 0.621 , 4.3368 
2046, 0.605 , 4.4493 
2047, 0.590 , 4.5578 
2048, 0.578 , 4.6596 
2049, 0.565 , 4.7590 
2050, 0.554 , 4.8582 
