County,Tax Base Category,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
King County,Retail Sales (nominal $mil) ,,5091.643343,5788.244971,6997.276772,8294.99794,8948.756469,9289.101183,9426.788797,10170.81863,11801.56169,12842.88461,13965.36235,15120.41598,16260.57373,18176.95161,20182.76983,21259.48156,21648.49144,22232.40819,23156.0733,24472.23832,25616.49342,27738.48793,30393.08183,32859.62707,36343.66403,36892.6098,35074.10061,34728.81524,35702.00654,38333.34269,41566.80482,45629.31767,47056.34836,41935.58447,38333.54449,39501.70656,41614.42664,44547.87027,47704.18654,52104.63017,52439.86154,54225.02611,57499.78903,57520.90034,58594.35683,61186.81598,61427.56983,61862.17199,63944.38063,64834.79055,65478.5246,67563.99731,69057.83926,69922.18429,71962.48218,74146.94519,75698.85243,77679.40677,79976.30273,82162.51724,84836.96247,88114.78102,91366.88996,94528.51217,97786.05301,101072.0856,104741.7133,108733.4634,112906.9836,117367.0217,121849.9854,126426.8629,130970.8882,135304.8306,139847.8836
King County,Cars and Gas Trucks (000s),725.67,740.1156037,824.120001,885.8228206,920.4630931,974.2590602,1015.207262,963.2480447,964.9127782,1005.477044,1031.842641,1089.074047,1146.079729,1167.594311,1214.103951,1261.261704,1296.983888,1284.344226,1257.486515,1282.609142,1297.137976,1313.603019,1340.11656,1385.673913,1324.142026,1432.890725,1508.988903,1453.996605,1450.91848,1484.7902,1486.95626,1503.482569,1533.7958,1546.216314,1514.150605,1558.331814,1585.177909,1579.662309,1586.946938,1596.718338,1605.710973,1602.22945,1594.543278,1733.331002,1748.889045,1771.282734,1792.775364,1812.71614,1834.763942,1857.823247,1880.209588,1903.196175,1926.844255,1948.887986,1971.280113,1994.903437,2017.4583,2038.270033,2060.799096,2084.204238,2109.036399,2135.006887,2161.057084,2185.053878,2208.066091,2231.217734,2255.993356,2282.166091,2309.194919,2336.966717,2365.632364,2393.894776,2422.483925,2450.874899,2479.240367,2508.376413
Kitsap County,Population (000s) ,111.1725924,119.3165255,125.3466496,130.740819,134.92218,142.8313609,152.7304679,156.5666761,158.7845224,162.5391386,166.9167664,168.6217111,169.3268437,176.588245,182.0509541,186.7978582,194.0991625,199.9237707,205.6715717,210.6020209,215.768813,220.643442,224.0619716,226.8907738,228.8606348,231.3362195,233.2687589,235.6250546,238.3117585,240.7976856,240.3743291,242.1473872,246.4991669,249.0311839,251.0478008,251.2260175,252.6698088,254.7833683,254.4180955,255.2314874,257.515833,260.9042759,265.1000854,268.4645341,265.9000964,269.2368568,272.4505003,275.4950269,278.6929894,281.9381969,285.0692692,288.3024599,291.4984988,294.4573589,297.4280732,300.4338102,303.298825,305.8428984,308.5448777,311.3017959,314.2028685,317.2213732,320.1809436,322.7588527,325.1396364,327.4555314,329.9604892,332.5895903,335.2780727,338.0010526,340.7889381,343.5088332,346.1970915,348.8064021,351.3558567,353.9610552
Kitsap County,Employment (000s) ,33.90828146,36.22442172,40.10860959,42.41029684,44.90960041,46.1955894,46.76242062,47.55032754,49.34221082,51.26396539,53.14160078,53.02821162,55.57766417,59.00126135,61.01592904,65.18072679,66.97480742,67.78742723,67.90372918,69.2044293,69.51885033,70.97350104,72.33069134,71.96693403,73.47500272,74.95271933,75.26499069,78.7079585,80.40667237,83.75026978,85.69394091,88.20871279,87.47425658,87.07555561,84.6155036,84.39998396,84.46666667,83.7333487,83.46668161,85.23334822,87.79998515,89.33333333,91.33703966,93.41311908,95.48076241,96.79141988,98.4807504,99.95563604,101.2207152,102.701333,104.1530364,105.4690025,106.9872908,108.586361,110.0883759,111.7143491,113.4112119,114.8853103,116.378885,117.9729544,119.6113709,121.3229862,123.1587103,125.0402836,126.6964589,128.2873352,129.8348174,131.4579418,133.1711779,134.9212263,136.6938708,138.3879738,140.0313526,141.630876,143.1644666,144.6843726
Kitsap County,Retail Sales (nominal $mil) ,,502.2439895,509.9653287,513.7319874,529.4145977,533.2121085,531.6994682,549.9150188,607.6404568,718.8481542,768.5919263,797.8216404,871.521512,934.6923114,1049.021742,1238.40822,1396.057879,1473.947766,1680.304719,1340.958134,921.3620308,1043.697849,998.9997724,1448.222846,2160.839648,2367.991163,2438.858638,2542.75719,2682.811597,2872.999442,3075.547264,3335.843152,3562.453544,3471.876988,3171.995403,3036.353322,3032.926448,3077.967922,3228.311906,3400.380683,3655.315893,3764.078927,3933.037919,4237.043368,4213.124212,4445.141806,4866.672924,5107.658437,5273.774404,5537.980803,5672.508083,5758.062588,5959.450988,6129.772924,6242.682532,6439.567911,6669.409906,6836.809681,7046.907022,7294.154913,7520.879009,7784.765424,8090.657832,8397.294111,8689.651267,8984.439703,9270.2214,9564.672836,9879.947347,10192.91909,10502.36001,10783.04665,11019.94375,11220.05359,11368.06447,11492.92901
Kitsap County,Cars and Gas Trucks (000s),68.992,72.03240157,81.54271694,86.21577531,91.4003228,97.49696131,100.2924781,105.4225711,105.714231,110.0075272,112.8432027,118.1616885,124.7041891,127.938496,135.2406956,142.6839764,151.9554902,157.7448487,157.1141815,160.2399998,162.1437446,164.0480648,165.4270525,169.3136302,162.9310133,180.5501802,192.9562213,190.4646291,197.174496,204.2562869,204.6462294,203.6296197,203.850075,203.8601406,202.9997444,207.7753275,209.6950603,209.8578748,212.891534,210.6140534,223.1943592,230.7964864,251.4632737,271.2137785,264.1525751,267.880457,271.5026256,275.2290528,278.927873,282.5745564,286.2453348,290.0654177,293.7307102,297.3184357,301.0187084,304.6300299,308.2110487,311.5634298,315.076992,318.7139021,322.5698763,326.5719358,330.5554689,334.2037671,337.7362947,341.2293841,344.9667415,348.8416629,352.8130595,356.8503476,360.9764346,365.1015784,369.1834724,373.2041275,377.182995,381.2369432
Pierce County,Population (000s) ,418.3691604,427.147801,434.0589738,446.876669,464.7331631,478.8730792,496.8827646,505.2720821,508.8944673,517.7088892,526.8260695,534.0734023,542.5985228,553.8506698,568.0131788,582.5985666,593.7741025,605.2943945,618.8747068,631.3633303,644.986542,652.4406209,659.1740346,671.5770561,683.8192518,696.8499277,706.064853,716.2564339,727.2919375,738.566146,750.9346726,767.4034973,782.7939812,792.0592604,797.0923708,796.2668479,798.8720505,806.0805625,812.3102532,819.338979,827.0640887,839.1366047,852.3809627,863.5278476,883.1766562,895.7922213,908.1289016,919.9464532,932.3211161,944.9000796,957.1426498,969.5087708,981.7890113,993.3082293,1004.904259,1016.655886,1027.658245,1037.600247,1048.104449,1058.822803,1070.059981,1081.547325,1092.859543,1102.893271,1112.275498,1121.456914,1131.20279,1141.39514,1151.812875,1162.371129,1173.175029,1183.647374,1194.030514,1204.160874,1214.10372,1224.258357
Pierce County,Employment (000s) ,115.9906679,121.3261357,125.6281175,135.5511588,139.876329,141.659382,140.8812771,140.4015128,145.1989441,151.5217419,157.0168743,163.8652885,170.943574,178.9525726,186.5027832,195.5421804,196.4505318,200.9972167,207.3762563,214.0991136,219.1058452,223.4624517,233.1361239,239.1105558,243.8687846,249.631232,247.0957595,247.5438543,253.2259906,259.9893879,268.1067742,276.9700203,286.109544,284.9353577,274.0041288,272.1999483,271.9333333,273.9000503,279.5000501,287.0333835,295.8666166,306.6,312.9587434,319.5621799,322.8830801,327.4237835,333.2384887,338.3305125,342.7148975,347.8315678,352.853,357.4069316,362.6488281,368.1671418,373.3589573,378.9737581,384.8241155,389.9210216,395.0862822,400.5950485,406.2568574,412.1666154,418.5006208,424.9931683,430.7222154,436.2316263,441.5810576,447.189735,453.1070373,459.1517563,465.2755719,471.1202482,476.7940148,482.3201734,487.6234499,492.8817174
Pierce County,Retail Sales (nominal $mil) ,,1419.63677,1567.889689,1841.304474,2098.592416,2113.663363,2197.354133,2340.932606,2528.602942,2941.805627,3130.949551,3243.008671,3495.315767,3816.815762,4154.396184,4506.612003,4908.543304,5279.06478,5550.875204,5812.709693,5996.088775,6035.922506,6342.17906,6834.679671,7430.508835,8044.487544,8434.146933,8664.682198,9160.906693,9774.652233,10666.09983,11761.7844,12453.61329,12280.07691,10960.72272,10443.07606,10590.85297,10675.07573,11664.81415,12473.64082,13217.32648,13770.07465,14667.83245,15766.85359,16574.80319,17446.0435,18521.63747,19199.79622,19909.33543,20912.0394,21734.91068,22534.11872,23616.14576,24597.52476,25471.16736,26582.74247,27729.07601,28757.55943,29871.80692,31052.40752,32211.33416,33476.7505,34877.18054,36269.19399,37641.03627,39025.75166,40412.77609,41883.57969,43419.19547,44993.31943,46631.28699,48283.62989,49973.64146,51672.5563,53349.50487,55102.18824
Pierce County,Cars and Gas Trucks (000s),252.446,253.0893221,287.7119917,293.2058214,299.9274567,312.969436,321.4351182,331.253946,324.0460188,335.6984952,346.0016766,363.510587,377.1194758,388.7945725,403.5697435,423.6990027,446.7139437,455.5622052,448.2440185,446.6738774,446.1484007,451.0704097,455.8551174,474.2686155,451.281443,499.3042854,536.4339957,527.6513916,547.0809543,569.9197411,587.2931161,595.9143734,614.0498669,619.8828583,614.3679809,636.6059977,648.6527887,651.0452828,665.3589873,669.4281587,655.8038932,671.401317,731.3073956,762.2089956,771.7663783,783.511535,795.0895112,806.9474485,818.8090542,830.6121612,842.6360942,854.9170142,866.8441391,878.6448441,890.7768477,902.7444024,914.4621292,925.5468671,937.2141187,949.2811874,962.0332285,975.1197992,988.1882028,1000.350371,1012.202926,1024.023726,1036.548987,1049.573736,1062.98661,1076.659217,1090.69366,1104.705353,1118.685093,1132.597482,1146.434383,1160.648093
Snohomish County,Population (000s) ,269.0725976,272.9555412,279.098166,290.3800053,309.7183378,330.4766177,345.6083484,354.3311741,360.9161226,367.6052789,376.5742478,387.7865471,400.684577,414.945942,434.8635385,456.6594561,479.2265716,494.1287252,502.619698,514.7444793,526.8296256,538.1599139,549.3472821,563.6736875,581.4879561,599.4624966,613.2548668,624.6392616,635.4637482,644.994711,655.4840785,670.447487,684.3757458,695.6182424,703.2461887,710.4046748,716.1259091,720.152855,727.5090258,736.3810448,750.7080211,767.6467122,780.5284355,792.6275604,818.567859,832.4868425,846.6848653,860.4728295,874.8559992,889.5073325,903.9181015,918.0969346,932.2589915,945.7608205,959.3964568,973.2419517,985.8974034,997.579506,1009.845034,1022.36143,1035.424854,1048.495558,1061.438229,1073.178297,1084.320072,1095.300208,1106.694164,1118.558431,1130.678211,1142.971188,1155.54162,1167.630737,1179.663511,1191.477703,1203.13686,1215.036446
Snohomish County,Employment (000s) ,67.16645825,71.1015171,75.55093647,87.01348121,101.8802729,102.752932,103.7551515,97.63172609,97.04469782,104.1795567,109.8282035,117.2613991,128.4009043,142.1607822,157.7223177,169.6775399,169.8427978,175.5153555,184.7208072,185.7489774,189.1240121,193.2820444,207.4331117,220.1433766,218.3508939,218.2231085,217.0493922,213.6834508,215.7073235,218.9314101,230.3212587,242.2737036,262.6229397,263.7135925,250.6916941,247.2666197,254.3666667,265.0667153,268.2667147,271.6333808,279.8999527,287.7666667,294.8143016,302.2995071,309.8250008,315.1626904,321.6637541,327.4939336,332.6618497,338.5632367,344.3961927,349.7038856,355.7058891,362.0024186,368.0010996,374.4400099,381.0672871,386.9703315,392.9614891,399.3154015,405.843965,412.614206,419.8326974,427.2349095,433.8929141,440.3508503,446.5356657,453.0004234,459.7965528,466.7414274,473.786456,480.4412812,486.9377313,493.2988323,499.4467856,505.563009
Snohomish County,Retail Sales (nominal $mil) ,,832.9267235,994.8198295,1246.856459,1520.166836,1639.201197,1675.578377,1718.897795,1917.317943,2168.592934,2278.94782,2501.653286,2861.501537,3167.040565,3721.236201,4284.002129,4465.817783,4932.926738,5289.052107,5293.855539,5354.683475,5382.011449,5975.120489,6698.602316,7123.33784,7649.347311,7884.480921,7838.577867,7953.071844,8293.114589,9116.558561,10318.08673,11468.03148,11424.04892,10076.68225,9596.90697,9735.051018,9958.530448,10785.85927,11430.83783,12120.27104,12513.64483,13375.86379,14589.50065,15318.22586,16081.94248,17198.76749,17659.41573,18169.02614,19123.5708,19737.74675,20257.99824,21189.02243,21916.43435,22437.88253,23299.16302,24155.2343,24791.61534,25523.34778,26314.94432,27033.33492,27853.22319,28812.25541,29708.33121,30517.37064,31294.63962,32012.57609,32780.73876,33567.63048,34337.16832,35112.00525,35802.34374,36457.61029,37033.36151,37500.89192,37953.96299
Snohomish County,Cars and Gas Trucks (000s),171.445,175.7137773,192.7836327,211.1710305,235.3969784,239.0956437,254.0980699,262.8431368,267.9095045,283.5732235,300.0732701,320.8522081,343.6877532,355.8559377,372.7995705,389.540031,405.9569066,409.1439192,404.8642746,404.5079651,411.6894354,418.2820312,436.0863341,456.611982,434.0843585,473.0419616,505.8987915,501.5857331,522.3280378,538.1843859,549.8551728,560.0869921,574.2494823,576.523797,580.8253634,595.9986581,610.1604765,613.8899694,629.6952787,643.1569249,664.19068,681.4110175,742.939053,778.6102239,793.6965847,807.3863391,821.4719453,834.9888308,849.127239,863.6870959,877.8326795,891.8722456,906.0212115,919.5525926,933.1828923,947.20964,960.2980564,972.4858431,985.3528345,998.5495588,1012.404847,1026.445689,1040.571209,1053.529471,1065.986217,1078.300725,1091.071734,1104.391744,1118.004063,1131.784033,1145.853514,1159.451076,1172.929657,1186.11502,1199.045271,1212.191083
