County,Tax Base Category,Year,Value
4-County regional Totals,Retail Sales (nominal),1999,49574313400.0
4-County regional Totals,Motor Fuel (gal.),1999,1794146975.0
4-County regional Totals,Cars and Gas Trucks,1999,2372438.841
4-County regional Totals,Diesel,1999,42.05701181
4-County regional Totals,Total Registrations (000s),1999,2414495.853
King County,Population,1999,1703611.9409999999
King County,Employment,1999,1152437.819
King County,Retail Sales (nominal),1999,32859627070.000004
King County,Cars and Gas Trucks,1999,1324142.026
Kitsap County,Population,1999,228860.6348
Kitsap County,Employment,1999,73475.00272
Kitsap County,Retail Sales (nominal),1999,2160839648.0
Kitsap County,Cars and Gas Trucks,1999,162931.0133
Pierce County,Population,1999,683819.2518
Pierce County,Employment,1999,243868.78459999998
Pierce County,Retail Sales (nominal),1999,7430508835.0
Pierce County,Cars and Gas Trucks,1999,451281.443
Snohomish County,Population,1999,581487.9561000001
Snohomish County,Employment,1999,218350.8939
Snohomish County,Retail Sales (nominal),1999,7123337840.0
Snohomish County,Cars and Gas Trucks,1999,434084.35850000003
4-County regional Totals,Personal Income (nominal),2000,122752169900.0
4-County regional Totals,Population,2000,3275857.0
4-County regional Totals,Employment,2000,1739850.0
4-County regional Totals,Retail Sales (nominal),2000,54405490050.0
4-County regional Totals,Motor Fuel (gal.),2000,1792946071.0
4-County regional Totals,Cars and Gas Trucks,2000,2585787.152
4-County regional Totals,Diesel,2000,49.35327104
4-County regional Totals,Total Registrations (000s),2000,2635140.423
King County,Population,2000,1728965.42
King County,Employment,2000,1197042.94
King County,Retail Sales (nominal),2000,36343664030.0
King County,Cars and Gas Trucks,2000,1432890.7249999999
Kitsap County,Population,2000,231336.2195
Kitsap County,Employment,2000,74952.71932999999
Kitsap County,Retail Sales (nominal),2000,2367991163.0
Kitsap County,Cars and Gas Trucks,2000,180550.1802
Pierce County,Population,2000,696849.9277
Pierce County,Employment,2000,249631.23200000002
Pierce County,Retail Sales (nominal),2000,8044487544.0
Pierce County,Cars and Gas Trucks,2000,499304.28540000005
Snohomish County,Population,2000,599462.4966
Snohomish County,Employment,2000,218223.1085
Snohomish County,Retail Sales (nominal),2000,7649347311.0
Snohomish County,Cars and Gas Trucks,2000,473041.9616
4-County regional Totals,Personal Income (nominal),2001,127474889500.0
4-County regional Totals,Population,2001,3316557.0
4-County regional Totals,Employment,2001,1724900.0
4-County regional Totals,Retail Sales (nominal),2001,55650096290.0
4-County regional Totals,Motor Fuel (gal.),2001,1781478945.0
4-County regional Totals,Cars and Gas Trucks,2001,2744277.912
4-County regional Totals,Diesel,2001,60.49448153
4-County regional Totals,Total Registrations (000s),2001,2804772.393
King County,Population,2001,1748883.805
King County,Employment,2001,1185489.858
King County,Retail Sales (nominal),2001,36892609800.0
King County,Cars and Gas Trucks,2001,1508988.903
Kitsap County,Population,2001,233268.7589
Kitsap County,Employment,2001,75264.99069
Kitsap County,Retail Sales (nominal),2001,2438858638.0
Kitsap County,Cars and Gas Trucks,2001,192956.2213
Pierce County,Population,2001,706064.853
Pierce County,Employment,2001,247095.75950000001
Pierce County,Retail Sales (nominal),2001,8434146933.0
Pierce County,Cars and Gas Trucks,2001,536433.9957
Snohomish County,Population,2001,613254.8668
Snohomish County,Employment,2001,217049.3922
Snohomish County,Retail Sales (nominal),2001,7884480921.0
Snohomish County,Cars and Gas Trucks,2001,505898.7915
4-County regional Totals,Personal Income (nominal),2002,129084389100.0
4-County regional Totals,Population,2002,3364581.0
4-County regional Totals,Employment,2002,1681766.6670000001
4-County regional Totals,Retail Sales (nominal),2002,54120117860.0
4-County regional Totals,Motor Fuel (gal.),2002,1732430544.0
4-County regional Totals,Cars and Gas Trucks,2002,2673698.358
4-County regional Totals,Diesel,2002,61.59134817
4-County regional Totals,Total Registrations (000s),2002,2735289.7060000002
King County,Population,2002,1770222.774
King County,Employment,2002,1141831.403
King County,Retail Sales (nominal),2002,35074100610.0
King County,Cars and Gas Trucks,2002,1453996.605
Kitsap County,Population,2002,235625.0546
Kitsap County,Employment,2002,78707.95850000001
Kitsap County,Retail Sales (nominal),2002,2542757190.0
Kitsap County,Cars and Gas Trucks,2002,190464.6291
Pierce County,Population,2002,716256.4339000001
Pierce County,Employment,2002,247543.8543
Pierce County,Retail Sales (nominal),2002,8664682198.0
Pierce County,Cars and Gas Trucks,2002,527651.3916
Snohomish County,Population,2002,624639.2616000001
Snohomish County,Employment,2002,213683.4508
Snohomish County,Retail Sales (nominal),2002,7838577867.0
Snohomish County,Cars and Gas Trucks,2002,501585.7331
4-County regional Totals,Personal Income (nominal),2003,131451902600.0
4-County regional Totals,Population,2003,3399436.0
4-County regional Totals,Employment,2003,1674900.0
4-County regional Totals,Retail Sales (nominal),2003,54525605370.0
4-County regional Totals,Motor Fuel (gal.),2003,1747309853.0
4-County regional Totals,Cars and Gas Trucks,2003,2717501.968
4-County regional Totals,Diesel,2003,63.78231965
4-County regional Totals,Total Registrations (000s),2003,2781284.287
King County,Population,2003,1785167.75
King County,Employment,2003,1125560.014
King County,Retail Sales (nominal),2003,34728815240.0
King County,Cars and Gas Trucks,2003,1450918.48
Kitsap County,Population,2003,238311.7585
Kitsap County,Employment,2003,80406.67237
Kitsap County,Retail Sales (nominal),2003,2682811597.0
Kitsap County,Cars and Gas Trucks,2003,197174.496
Pierce County,Population,2003,727291.9375
Pierce County,Employment,2003,253225.9906
Pierce County,Retail Sales (nominal),2003,9160906693.0
Pierce County,Cars and Gas Trucks,2003,547080.9543
Snohomish County,Population,2003,635463.7482
Snohomish County,Employment,2003,215707.3235
Snohomish County,Retail Sales (nominal),2003,7953071844.0
Snohomish County,Cars and Gas Trucks,2003,522328.03779999993
4-County regional Totals,Personal Income (nominal),2004,139904916100.0
4-County regional Totals,Population,2004,3434039.0
4-County regional Totals,Employment,2004,1693783.333
4-County regional Totals,Retail Sales (nominal),2004,56642772800.0
4-County regional Totals,Motor Fuel (gal.),2004,1757533602.0
4-County regional Totals,Cars and Gas Trucks,2004,2797150.614
4-County regional Totals,Diesel,2004,69.21360882
4-County regional Totals,Total Registrations (000s),2004,2866364.223
King County,Population,2004,1796326.9949999999
King County,Employment,2004,1131112.266
King County,Retail Sales (nominal),2004,35702006540.0
King County,Cars and Gas Trucks,2004,1484790.2
Kitsap County,Population,2004,240797.6856
Kitsap County,Employment,2004,83750.26978
Kitsap County,Retail Sales (nominal),2004,2872999442.0
Kitsap County,Cars and Gas Trucks,2004,204256.2869
Pierce County,Population,2004,738566.146
Pierce County,Employment,2004,259989.3879
Pierce County,Retail Sales (nominal),2004,9774652233.0
Pierce County,Cars and Gas Trucks,2004,569919.7411
Snohomish County,Population,2004,644994.711
Snohomish County,Employment,2004,218931.41009999998
Snohomish County,Retail Sales (nominal),2004,8293114589.000001
Snohomish County,Cars and Gas Trucks,2004,538184.3859000001
4-County regional Totals,Personal Income (nominal),2005,148339268800.0
4-County regional Totals,Population,2005,3473083.0
4-County regional Totals,Employment,2005,1737966.667
4-County regional Totals,Retail Sales (nominal),2005,61191548340.0
4-County regional Totals,Motor Fuel (gal.),2005,1763850485.0
4-County regional Totals,Cars and Gas Trucks,2005,2828750.778
4-County regional Totals,Diesel,2005,73.96520418
4-County regional Totals,Total Registrations (000s),2005,2902715.9820000003
King County,Population,2005,1809174.5599999998
King County,Employment,2005,1153844.693
King County,Retail Sales (nominal),2005,38333342690.0
King County,Cars and Gas Trucks,2005,1486956.26
Kitsap County,Population,2005,240374.3291
Kitsap County,Employment,2005,85693.94090999999
Kitsap County,Retail Sales (nominal),2005,3075547264.0
Kitsap County,Cars and Gas Trucks,2005,204646.2294
Pierce County,Population,2005,750934.6726
Pierce County,Employment,2005,268106.77420000004
Pierce County,Retail Sales (nominal),2005,10666099830.0
Pierce County,Cars and Gas Trucks,2005,587293.1161
Snohomish County,Population,2005,655484.0785000001
Snohomish County,Employment,2005,230321.25869999998
Snohomish County,Retail Sales (nominal),2005,9116558561.0
Snohomish County,Cars and Gas Trucks,2005,549855.1728
4-County regional Totals,Personal Income (nominal),2006,158167981400.0
4-County regional Totals,Population,2006,3539434.0
4-County regional Totals,Employment,2006,1794300.0
4-County regional Totals,Retail Sales (nominal),2006,66982519090.0
4-County regional Totals,Motor Fuel (gal.),2006,1779821989.0
4-County regional Totals,Cars and Gas Trucks,2006,2863113.554
4-County regional Totals,Diesel,2006,80.15934875
4-County regional Totals,Total Registrations (000s),2006,2943272.903
King County,Population,2006,1833773.104
King County,Employment,2006,1186847.563
King County,Retail Sales (nominal),2006,41566804820.0
King County,Cars and Gas Trucks,2006,1503482.569
Kitsap County,Population,2006,242147.3872
Kitsap County,Employment,2006,88208.71279
Kitsap County,Retail Sales (nominal),2006,3335843152.0
Kitsap County,Cars and Gas Trucks,2006,203629.6197
Pierce County,Population,2006,767403.4973
Pierce County,Employment,2006,276970.0203
Pierce County,Retail Sales (nominal),2006,11761784400.0
Pierce County,Cars and Gas Trucks,2006,595914.3734
Snohomish County,Population,2006,670447.4870000001
Snohomish County,Employment,2006,242273.7036
Snohomish County,Retail Sales (nominal),2006,10318086730.0
Snohomish County,Cars and Gas Trucks,2006,560086.9921
4-County regional Totals,Personal Income (nominal),2007,173956542700.0
4-County regional Totals,Population,2007,3594799.0
4-County regional Totals,Employment,2007,1845533.333
4-County regional Totals,Retail Sales (nominal),2007,73113415990.0
4-County regional Totals,Motor Fuel (gal.),2007,1788781195.0
4-County regional Totals,Cars and Gas Trucks,2007,2925945.225
4-County regional Totals,Diesel,2007,86.50612513
4-County regional Totals,Total Registrations (000s),2007,3012451.3499999996
King County,Population,2007,1862865.9009999998
King County,Employment,2007,1209326.593
King County,Retail Sales (nominal),2007,45629317670.0
King County,Cars and Gas Trucks,2007,1533795.8
Kitsap County,Population,2007,246499.1669
Kitsap County,Employment,2007,87474.25658
Kitsap County,Retail Sales (nominal),2007,3562453544.0
Kitsap County,Cars and Gas Trucks,2007,203850.075
Pierce County,Population,2007,782793.9811999999
Pierce County,Employment,2007,286109.54400000005
Pierce County,Retail Sales (nominal),2007,12453613290.0
Pierce County,Cars and Gas Trucks,2007,614049.8669
Snohomish County,Population,2007,684375.7458
Snohomish County,Employment,2007,262622.93970000005
Snohomish County,Retail Sales (nominal),2007,11468031480.0
Snohomish County,Cars and Gas Trucks,2007,574249.4822999999
4-County regional Totals,Personal Income (nominal),2008,186433430900.0
4-County regional Totals,Population,2008,3634690.0
4-County regional Totals,Employment,2008,1862508.333
4-County regional Totals,Retail Sales (nominal),2008,74232351190.0
4-County regional Totals,Motor Fuel (gal.),2008,1759679945.0
4-County regional Totals,Cars and Gas Trucks,2008,2946483.1100000003
4-County regional Totals,Diesel,2008,89.21048122
4-County regional Totals,Total Registrations (000s),2008,3035693.592
King County,Population,2008,1883775.189
King County,Employment,2008,1226783.828
King County,Retail Sales (nominal),2008,47056348360.0
King County,Cars and Gas Trucks,2008,1546216.314
Kitsap County,Population,2008,249031.1839
Kitsap County,Employment,2008,87075.55561
Kitsap County,Retail Sales (nominal),2008,3471876988.0
Kitsap County,Cars and Gas Trucks,2008,203860.14059999998
Pierce County,Population,2008,792059.2604
Pierce County,Employment,2008,284935.3577
Pierce County,Retail Sales (nominal),2008,12280076910.0
Pierce County,Cars and Gas Trucks,2008,619882.8583
Snohomish County,Population,2008,695618.2424
Snohomish County,Employment,2008,263713.5925
Snohomish County,Retail Sales (nominal),2008,11424048920.0
Snohomish County,Cars and Gas Trucks,2008,576523.7969999999
4-County regional Totals,Personal Income (nominal),2009,181324754300.0
4-County regional Totals,Population,2009,3663248.0
4-County regional Totals,Employment,2009,1772641.6670000001
4-County regional Totals,Retail Sales (nominal),2009,66144984830.0
4-County regional Totals,Motor Fuel (gal.),2009,1700738023.0
4-County regional Totals,Cars and Gas Trucks,2009,2912343.693
4-County regional Totals,Diesel,2009,88.72087691
4-County regional Totals,Total Registrations (000s),2009,3001064.57
King County,Population,2009,1901257.942
King County,Employment,2009,1163330.34
King County,Retail Sales (nominal),2009,41935584470.0
King County,Cars and Gas Trucks,2009,1514150.605
Kitsap County,Population,2009,251047.8008
Kitsap County,Employment,2009,84615.5036
Kitsap County,Retail Sales (nominal),2009,3171995403.0
Kitsap County,Cars and Gas Trucks,2009,202999.7444
Pierce County,Population,2009,797092.3708
Pierce County,Employment,2009,274004.1288
Pierce County,Retail Sales (nominal),2009,10960722720.0
Pierce County,Cars and Gas Trucks,2009,614367.9809
Snohomish County,Population,2009,703246.1886999999
Snohomish County,Employment,2009,250691.6941
Snohomish County,Retail Sales (nominal),2009,10076682250.0
Snohomish County,Cars and Gas Trucks,2009,580825.3634
4-County regional Totals,Personal Income (nominal),2010,173452467500.0
4-County regional Totals,Population,2010,3690942.0
4-County regional Totals,Employment,2010,1753633.0
4-County regional Totals,Retail Sales (nominal),2010,61409880840.0
4-County regional Totals,Motor Fuel (gal.),2010,1699738674.0
4-County regional Totals,Cars and Gas Trucks,2010,2998711.798
4-County regional Totals,Diesel,2010,88.04449929
4-County regional Totals,Total Registrations (000s),2010,3086756.297
King County,Population,2010,1922328.381
King County,Employment,2010,1149766.448
King County,Retail Sales (nominal),2010,38333544490.0
King County,Cars and Gas Trucks,2010,1558331.8139999998
Kitsap County,Population,2010,251226.01750000002
Kitsap County,Employment,2010,84399.98396
Kitsap County,Retail Sales (nominal),2010,3036353322.0
Kitsap County,Cars and Gas Trucks,2010,207775.3275
Pierce County,Population,2010,796266.8479
Pierce County,Employment,2010,272199.9483
Pierce County,Retail Sales (nominal),2010,10443076060.0
Pierce County,Cars and Gas Trucks,2010,636605.9977
Snohomish County,Population,2010,710404.6747999999
Snohomish County,Employment,2010,247266.6197
Snohomish County,Retail Sales (nominal),2010,9596906970.0
Snohomish County,Cars and Gas Trucks,2010,595998.6581
4-County regional Totals,Personal Income (nominal),2011,181255974900.0
4-County regional Totals,Population,2011,3715650.0
4-County regional Totals,Employment,2011,1777900.0
4-County regional Totals,Retail Sales (nominal),2011,62860537000.0
4-County regional Totals,Motor Fuel (gal.),2011,1752023137.0
4-County regional Totals,Cars and Gas Trucks,2011,3053686.2350000003
4-County regional Totals,Diesel,2011,88.67719079
4-County regional Totals,Total Registrations (000s),2011,3142363.426
King County,Population,2011,1939870.7589999998
King County,Employment,2011,1167133.333
King County,Retail Sales (nominal),2011,39501706560.0
King County,Cars and Gas Trucks,2011,1585177.909
Kitsap County,Population,2011,252669.8088
Kitsap County,Employment,2011,84466.66666999999
Kitsap County,Retail Sales (nominal),2011,3032926448.0
Kitsap County,Cars and Gas Trucks,2011,209695.06029999998
Pierce County,Population,2011,798872.0505
Pierce County,Employment,2011,271933.3333
Pierce County,Retail Sales (nominal),2011,10590852970.0
Pierce County,Cars and Gas Trucks,2011,648652.7886999999
Snohomish County,Population,2011,716125.9090999999
Snohomish County,Employment,2011,254366.6667
Snohomish County,Retail Sales (nominal),2011,9735051018.0
Snohomish County,Cars and Gas Trucks,2011,610160.4765
4-County regional Totals,Personal Income (nominal),2012,198717948500.0
4-County regional Totals,Population,2012,3742600.0
4-County regional Totals,Employment,2012,1816467.0
4-County regional Totals,Retail Sales (nominal),2012,65326000740.0
4-County regional Totals,Motor Fuel (gal.),2012,1867534385.0
4-County regional Totals,Cars and Gas Trucks,2012,3054455.436
4-County regional Totals,Diesel,2012,88.85090786
4-County regional Totals,Total Registrations (000s),2012,3143306.344
King County,Population,2012,1950287.318
King County,Employment,2012,1193766.8860000002
King County,Retail Sales (nominal),2012,41614426640.0
King County,Cars and Gas Trucks,2012,1579662.3090000001
Kitsap County,Population,2012,254783.3683
Kitsap County,Employment,2012,83733.34869999999
Kitsap County,Retail Sales (nominal),2012,3077967922.0
Kitsap County,Cars and Gas Trucks,2012,209857.8748
Pierce County,Population,2012,806080.5625
Pierce County,Employment,2012,273900.0503
Pierce County,Retail Sales (nominal),2012,10675075730.0
Pierce County,Cars and Gas Trucks,2012,651045.2828
Snohomish County,Population,2012,720152.8550000001
Snohomish County,Employment,2012,265066.7153
Snohomish County,Retail Sales (nominal),2012,9958530448.0
Snohomish County,Cars and Gas Trucks,2012,613889.9694000001
4-County regional Totals,Personal Income (nominal),2013,210574940400.0
4-County regional Totals,Population,2013,3780900.0
4-County regional Totals,Employment,2013,1861567.0
4-County regional Totals,Retail Sales (nominal),2013,70226855600.0
4-County regional Totals,Motor Fuel (gal.),2013,1857099021.0
4-County regional Totals,Cars and Gas Trucks,2013,3094892.738
4-County regional Totals,Diesel,2013,89.28817833
4-County regional Totals,Total Registrations (000s),2013,3184180.9170000004
King County,Population,2013,1970454.6190000002
King County,Employment,2013,1230333.554
King County,Retail Sales (nominal),2013,44547870270.0
King County,Cars and Gas Trucks,2013,1586946.938
Kitsap County,Population,2013,254418.0955
Kitsap County,Employment,2013,83466.68161
Kitsap County,Retail Sales (nominal),2013,3228311906.0
Kitsap County,Cars and Gas Trucks,2013,212891.534
Pierce County,Population,2013,812310.2532
Pierce County,Employment,2013,279500.0501
Pierce County,Retail Sales (nominal),2013,11664814150.0
Pierce County,Cars and Gas Trucks,2013,665358.9872999999
Snohomish County,Population,2013,727509.0258000001
Snohomish County,Employment,2013,268266.7147
Snohomish County,Retail Sales (nominal),2013,10785859270.0
Snohomish County,Cars and Gas Trucks,2013,629695.2787
4-County regional Totals,Personal Income (nominal),2014,221059478200.0
4-County regional Totals,Population,2014,3835450.0
4-County regional Totals,Employment,2014,1908367.0
4-County regional Totals,Retail Sales (nominal),2014,75009045870.0
4-County regional Totals,Motor Fuel (gal.),2014,1835938237.0
4-County regional Totals,Cars and Gas Trucks,2014,3119917.475
4-County regional Totals,Diesel,2014,89.65267304
4-County regional Totals,Total Registrations (000s),2014,3209570.1479999996
King County,Population,2014,2002923.988
King County,Employment,2014,1264466.888
King County,Retail Sales (nominal),2014,47704186540.0
King County,Cars and Gas Trucks,2014,1596718.338
Kitsap County,Population,2014,255231.48739999998
Kitsap County,Employment,2014,85233.34822
Kitsap County,Retail Sales (nominal),2014,3400380683.0
Kitsap County,Cars and Gas Trucks,2014,210614.05339999998
Pierce County,Population,2014,819338.979
Pierce County,Employment,2014,287033.3835
Pierce County,Retail Sales (nominal),2014,12473640820.0
Pierce County,Cars and Gas Trucks,2014,669428.1587
Snohomish County,Population,2014,736381.0448
Snohomish County,Employment,2014,271633.3808
Snohomish County,Retail Sales (nominal),2014,11430837830.0
Snohomish County,Cars and Gas Trucks,2014,643156.9249
4-County regional Totals,Personal Income (nominal),2015,236385726200.0
4-County regional Totals,Population,2015,3898720.0
4-County regional Totals,Employment,2015,1971433.0
4-County regional Totals,Retail Sales (nominal),2015,81097543590.0
4-County regional Totals,Motor Fuel (gal.),2015,1832182352.0
4-County regional Totals,Cars and Gas Trucks,2015,3148899.9050000003
4-County regional Totals,Diesel,2015,91.11753701
4-County regional Totals,Total Registrations (000s),2015,3240017.442
King County,Population,2015,2038687.939
King County,Employment,2015,1307866.446
King County,Retail Sales (nominal),2015,52104630170.0
King County,Cars and Gas Trucks,2015,1605710.973
Kitsap County,Population,2015,257515.83299999998
Kitsap County,Employment,2015,87799.98515
Kitsap County,Retail Sales (nominal),2015,3655315893.0
Kitsap County,Cars and Gas Trucks,2015,223194.3592
Pierce County,Population,2015,827064.0887
Pierce County,Employment,2015,295866.6166
Pierce County,Retail Sales (nominal),2015,13217326480.0
Pierce County,Cars and Gas Trucks,2015,655803.8931999999
Snohomish County,Population,2015,750708.0211
Snohomish County,Employment,2015,279899.95269999997
Snohomish County,Retail Sales (nominal),2015,12120271040.0
Snohomish County,Cars and Gas Trucks,2015,664190.68
4-County regional Totals,Personal Income (nominal),2016,243624816300.0
4-County regional Totals,Population,2016,3985040.0
4-County regional Totals,Employment,2016,2039500.0
4-County regional Totals,Retail Sales (nominal),2016,82487659950.0
4-County regional Totals,Motor Fuel (gal.),2016,1829014786.0
4-County regional Totals,Cars and Gas Trucks,2016,3185838.27
4-County regional Totals,Diesel,2016,108.0
4-County regional Totals,Total Registrations (000s),2016,3293838.27
King County,Population,2016,2083013.3449999997
King County,Employment,2016,1355800.0
King County,Retail Sales (nominal),2016,52439861540.0
King County,Cars and Gas Trucks,2016,1602229.45
Kitsap County,Population,2016,260904.2759
Kitsap County,Employment,2016,89333.33333000001
Kitsap County,Retail Sales (nominal),2016,3764078927.0
Kitsap County,Cars and Gas Trucks,2016,230796.4864
Pierce County,Population,2016,839136.6047
Pierce County,Employment,2016,306600.0
Pierce County,Retail Sales (nominal),2016,13770074650.0
Pierce County,Cars and Gas Trucks,2016,671401.3169999999
Snohomish County,Population,2016,767646.7122000001
Snohomish County,Employment,2016,287766.6667
Snohomish County,Retail Sales (nominal),2016,12513644830.0
Snohomish County,Cars and Gas Trucks,2016,681411.0175
4-County regional Totals,Personal Income (nominal),2017,257543671500.0
4-County regional Totals,Population,2017,4066800.0
4-County regional Totals,Employment,2017,2082058.0
4-County regional Totals,Retail Sales (nominal),2017,86201760270.0
4-County regional Totals,Motor Fuel (gal.),2017,1909761069.0
4-County regional Totals,Cars and Gas Trucks,2017,3320253.0
4-County regional Totals,Diesel,2017,115.813
4-County regional Totals,Total Registrations (000s),2017,3436066.0
King County,Population,2017,2127123.768
King County,Employment,2017,1382947.915
King County,Retail Sales (nominal),2017,54225026110.0
King County,Cars and Gas Trucks,2017,1594543.2780000002
Kitsap County,Population,2017,265100.08540000004
Kitsap County,Employment,2017,91337.03966
Kitsap County,Retail Sales (nominal),2017,3933037919.0
Kitsap County,Cars and Gas Trucks,2017,251463.2737
Pierce County,Population,2017,852380.9627
Pierce County,Employment,2017,312958.7434
Pierce County,Retail Sales (nominal),2017,14667832450.0
Pierce County,Cars and Gas Trucks,2017,731307.3955999999
Snohomish County,Population,2017,780528.4355
Snohomish County,Employment,2017,294814.3016
Snohomish County,Retail Sales (nominal),2017,13375863790.0
Snohomish County,Cars and Gas Trucks,2017,742939.053
4-County regional Totals,Personal Income (nominal),2018,277961000000.0
4-County regional Totals,Population,2018,4122419.0
4-County regional Totals,Employment,2018,2126785.0
4-County regional Totals,Retail Sales (nominal),2018,92093186640.0
4-County regional Totals,Motor Fuel (gal.),2018,1953725249.0
4-County regional Totals,Cars and Gas Trucks,2018,3545364.0
4-County regional Totals,Diesel,2018,135.411
4-County regional Totals,Total Registrations (000s),2018,3680775.0
King County,Population,2018,2169250.257
King County,Employment,2018,1411510.194
King County,Retail Sales (nominal),2018,57499789030.0
King County,Cars and Gas Trucks,2018,1733331.0019999999
Kitsap County,Population,2018,268464.5341
Kitsap County,Employment,2018,93413.11908
Kitsap County,Retail Sales (nominal),2018,4237043367.9999995
Kitsap County,Cars and Gas Trucks,2018,271213.7785
Pierce County,Population,2018,863527.8476
Pierce County,Employment,2018,319562.1799
Pierce County,Retail Sales (nominal),2018,15766853590.0
Pierce County,Cars and Gas Trucks,2018,762208.9956
Snohomish County,Population,2018,792627.5604
Snohomish County,Employment,2018,302299.50710000005
Snohomish County,Retail Sales (nominal),2018,14589500650.0
Snohomish County,Cars and Gas Trucks,2018,778610.2239000001
4-County regional Totals,Personal Income (nominal),2019,286353000000.0
4-County regional Totals,Population,2019,4180279.9999999995
4-County regional Totals,Employment,2019,2155919.0
4-County regional Totals,Retail Sales (nominal),2019,93627053600.0
4-County regional Totals,Motor Fuel (gal.),2019,1917427117.0
4-County regional Totals,Cars and Gas Trucks,2019,3578504.583
4-County regional Totals,Diesel,2019,137.9748959
4-County regional Totals,Total Registrations (000s),2019,3716479.4790000003
King County,Population,2019,2212635.3880000003
King County,Employment,2019,1427730.157
King County,Retail Sales (nominal),2019,57520900340.0
King County,Cars and Gas Trucks,2019,1748889.045
Kitsap County,Population,2019,265900.0964
Kitsap County,Employment,2019,95480.76241
Kitsap County,Retail Sales (nominal),2019,4213124211.9999995
Kitsap County,Cars and Gas Trucks,2019,264152.57509999996
Pierce County,Population,2019,883176.6562
Pierce County,Employment,2019,322883.08009999996
Pierce County,Retail Sales (nominal),2019,16574803189.999998
Pierce County,Cars and Gas Trucks,2019,771766.3783000001
Snohomish County,Population,2019,818567.859
Snohomish County,Employment,2019,309825.0008
Snohomish County,Retail Sales (nominal),2019,15318225860.0
Snohomish County,Cars and Gas Trucks,2019,793696.5847
4-County regional Totals,Personal Income (nominal),2020,299006000000.0
4-County regional Totals,Population,2020,4240910.0
4-County regional Totals,Employment,2020,2182432.0
4-County regional Totals,Retail Sales (nominal),2020,96567484620.0
4-County regional Totals,Motor Fuel (gal.),2020,1914860233.0
4-County regional Totals,Cars and Gas Trucks,2020,3630061.065
4-County regional Totals,Diesel,2020,141.2925983
4-County regional Totals,Total Registrations (000s),2020,3771353.6629999997
King County,Population,2020,2243394.0790000004
King County,Employment,2020,1443054.1060000001
King County,Retail Sales (nominal),2020,58594356830.0
King County,Cars and Gas Trucks,2020,1771282.734
Kitsap County,Population,2020,269236.8568
Kitsap County,Employment,2020,96791.41988
Kitsap County,Retail Sales (nominal),2020,4445141806.0
Kitsap County,Cars and Gas Trucks,2020,267880.457
Pierce County,Population,2020,895792.2213000001
Pierce County,Employment,2020,327423.7835
Pierce County,Retail Sales (nominal),2020,17446043500.0
Pierce County,Cars and Gas Trucks,2020,783511.535
Snohomish County,Population,2020,832486.8424999999
Snohomish County,Employment,2020,315162.69039999996
Snohomish County,Retail Sales (nominal),2020,16081942480.0
Snohomish County,Cars and Gas Trucks,2020,807386.3391
4-County regional Totals,Personal Income (nominal),2021,318615000000.0
4-County regional Totals,Population,2021,4300285.0
4-County regional Totals,Employment,2021,2217681.0
4-County regional Totals,Retail Sales (nominal),2021,101773893900.0
4-County regional Totals,Motor Fuel (gal.),2021,1908948354.0
4-County regional Totals,Cars and Gas Trucks,2021,3680839.446
4-County regional Totals,Diesel,2021,144.630851
4-County regional Totals,Total Registrations (000s),2021,3825470.297
King County,Population,2021,2273020.733
King County,Employment,2021,1464298.007
King County,Retail Sales (nominal),2021,61186815980.0
King County,Cars and Gas Trucks,2021,1792775.364
Kitsap County,Population,2021,272450.5003
Kitsap County,Employment,2021,98480.7504
Kitsap County,Retail Sales (nominal),2021,4866672924.0
Kitsap County,Cars and Gas Trucks,2021,271502.62559999997
Pierce County,Population,2021,908128.9016
Pierce County,Employment,2021,333238.4887
Pierce County,Retail Sales (nominal),2021,18521637470.0
Pierce County,Cars and Gas Trucks,2021,795089.5112
Snohomish County,Population,2021,846684.8653
Snohomish County,Employment,2021,321663.7541
Snohomish County,Retail Sales (nominal),2021,17198767490.0
Snohomish County,Cars and Gas Trucks,2021,821471.9453
4-County regional Totals,Personal Income (nominal),2022,328008000000.0
4-County regional Totals,Population,2022,4357228.0
4-County regional Totals,Employment,2022,2248017.0
4-County regional Totals,Retail Sales (nominal),2022,103394440200.0
4-County regional Totals,Motor Fuel (gal.),2022,1898866468.0
4-County regional Totals,Cars and Gas Trucks,2022,3729881.472
4-County regional Totals,Diesel,2022,147.9514712
4-County regional Totals,Total Registrations (000s),2022,3877832.943
King County,Population,2022,2301313.69
King County,Employment,2022,1482236.918
King County,Retail Sales (nominal),2022,61427569830.0
King County,Cars and Gas Trucks,2022,1812716.14
Kitsap County,Population,2022,275495.02690000006
Kitsap County,Employment,2022,99955.63604
Kitsap County,Retail Sales (nominal),2022,5107658437.0
Kitsap County,Cars and Gas Trucks,2022,275229.0528
Pierce County,Population,2022,919946.4532
Pierce County,Employment,2022,338330.5125
Pierce County,Retail Sales (nominal),2022,19199796220.0
Pierce County,Cars and Gas Trucks,2022,806947.4484999999
Snohomish County,Population,2022,860472.8295
Snohomish County,Employment,2022,327493.9336
Snohomish County,Retail Sales (nominal),2022,17659415730.0
Snohomish County,Cars and Gas Trucks,2022,834988.8308
4-County regional Totals,Personal Income (nominal),2023,338195000000.0
4-County regional Totals,Population,2023,4416836.0
4-County regional Totals,Employment,2023,2273563.0
