County,Tax Base Category,Year,Value
Pierce County,Population,1980,478873.0792
Pierce County,Employment,1980,141659.38199999998
Pierce County,Retail Sales (nominal),1980,2113663363.0
Pierce County,Cars and Gas Trucks,1980,312969.436
Snohomish County,Population,1980,330476.6177
Snohomish County,Employment,1980,102752.932
Snohomish County,Retail Sales (nominal),1980,1639201197.0
Snohomish County,Cars and Gas Trucks,1980,239095.64370000002
4-County regional Totals,Personal Income (nominal),1981,28912179640.0
4-County regional Totals,Population,1981,2309404.0
4-County regional Totals,Employment,1981,971747.4941
4-County regional Totals,Retail Sales (nominal),1981,13693733160.0
4-County regional Totals,Motor Fuel (gal.),1981,1116648411.0
4-County regional Totals,Cars and Gas Trucks,1981,1691032.929
4-County regional Totals,Diesel,1981,12.75384203
4-County regional Totals,Total Registrations (000s),1981,1703786.771
King County,Population,1981,1291945.844
King County,Employment,1981,680348.6448
King County,Retail Sales (nominal),1981,9289101183.0
King County,Cars and Gas Trucks,1981,1015207.262
Kitsap County,Population,1981,152730.46790000002
Kitsap County,Employment,1981,46762.42062
Kitsap County,Retail Sales (nominal),1981,531699468.1999999
Kitsap County,Cars and Gas Trucks,1981,100292.4781
Pierce County,Population,1981,496882.7646
Pierce County,Employment,1981,140881.2771
Pierce County,Retail Sales (nominal),1981,2197354133.0
Pierce County,Cars and Gas Trucks,1981,321435.11819999997
Snohomish County,Population,1981,345608.3484
Snohomish County,Employment,1981,103755.15149999999
Snohomish County,Retail Sales (nominal),1981,1675578377.0
Snohomish County,Cars and Gas Trucks,1981,254098.0699
4-County regional Totals,Personal Income (nominal),1982,31703801130.0
4-County regional Totals,Population,1982,2339039.0
4-County regional Totals,Employment,1982,954097.5048999999
4-County regional Totals,Retail Sales (nominal),1982,14036534220.0
4-County regional Totals,Motor Fuel (gal.),1982,1081696183.0
4-County regional Totals,Cars and Gas Trucks,1982,1662767.699
4-County regional Totals,Diesel,1982,17.55310356
4-County regional Totals,Total Registrations (000s),1982,1680320.802
King County,Population,1982,1314165.3960000002
King County,Employment,1982,668513.9385
King County,Retail Sales (nominal),1982,9426788797.0
King County,Cars and Gas Trucks,1982,963248.0447000001
Kitsap County,Population,1982,156566.67609999998
Kitsap County,Employment,1982,47550.32754
Kitsap County,Retail Sales (nominal),1982,549915018.8
Kitsap County,Cars and Gas Trucks,1982,105422.5711
Pierce County,Population,1982,505272.0821
Pierce County,Employment,1982,140401.5128
Pierce County,Retail Sales (nominal),1982,2340932606.0
Pierce County,Cars and Gas Trucks,1982,331253.946
Snohomish County,Population,1982,354331.1741
Snohomish County,Employment,1982,97631.72609
Snohomish County,Retail Sales (nominal),1982,1718897795.0
Snohomish County,Cars and Gas Trucks,1982,262843.13680000004
4-County regional Totals,Personal Income (nominal),1983,33473975850.000004
4-County regional Totals,Population,1983,2354632.0
4-County regional Totals,Employment,1983,963737.4998999999
4-County regional Totals,Retail Sales (nominal),1983,15224379970.0
4-County regional Totals,Motor Fuel (gal.),1983,1122217865.0
4-County regional Totals,Cars and Gas Trucks,1983,1662582.533
4-County regional Totals,Diesel,1983,21.1023568
4-County regional Totals,Total Registrations (000s),1983,1683684.8890000002
King County,Population,1983,1318557.67
King County,Employment,1983,672151.6471
King County,Retail Sales (nominal),1983,10170818630.0
King County,Cars and Gas Trucks,1983,964912.7782000001
Kitsap County,Population,1983,158784.5224
Kitsap County,Employment,1983,49342.21082
Kitsap County,Retail Sales (nominal),1983,607640456.8000001
Kitsap County,Cars and Gas Trucks,1983,105714.231
Pierce County,Population,1983,508894.46729999996
Pierce County,Employment,1983,145198.9441
Pierce County,Retail Sales (nominal),1983,2528602942.0
Pierce County,Cars and Gas Trucks,1983,324046.0188
Snohomish County,Population,1983,360916.1226
Snohomish County,Employment,1983,97044.69782
Snohomish County,Retail Sales (nominal),1983,1917317943.0
Snohomish County,Cars and Gas Trucks,1983,267909.50450000004
4-County regional Totals,Personal Income (nominal),1984,35715380970.0
4-County regional Totals,Population,1984,2388441.0
4-County regional Totals,Employment,1984,1017465.8319999999
4-County regional Totals,Retail Sales (nominal),1984,17630808400.0
4-County regional Totals,Motor Fuel (gal.),1984,1154802528.0
4-County regional Totals,Cars and Gas Trucks,1984,1734756.29
4-County regional Totals,Diesel,1984,22.52041203
4-County regional Totals,Total Registrations (000s),1984,1757276.7019999998
King County,Population,1984,1326736.9209999999
King County,Employment,1984,710500.5684999999
King County,Retail Sales (nominal),1984,11801561690.0
King County,Cars and Gas Trucks,1984,1005477.044
Kitsap County,Population,1984,162539.1386
Kitsap County,Employment,1984,51263.965390000005
Kitsap County,Retail Sales (nominal),1984,718848154.1999999
Kitsap County,Cars and Gas Trucks,1984,110007.5272
Pierce County,Population,1984,517708.88920000003
Pierce County,Employment,1984,151521.7419
Pierce County,Retail Sales (nominal),1984,2941805627.0
Pierce County,Cars and Gas Trucks,1984,335698.4952
Snohomish County,Population,1984,367605.2789
Snohomish County,Employment,1984,104179.5567
Snohomish County,Retail Sales (nominal),1984,2168592934.0
Snohomish County,Cars and Gas Trucks,1984,283573.22349999996
4-County regional Totals,Personal Income (nominal),1985,38630144410.0
4-County regional Totals,Population,1985,2436108.0
4-County regional Totals,Employment,1985,1059688.328
4-County regional Totals,Retail Sales (nominal),1985,19021373910.0
4-County regional Totals,Motor Fuel (gal.),1985,1213725167.0
4-County regional Totals,Cars and Gas Trucks,1985,1790760.791
4-County regional Totals,Diesel,1985,24.97785375
4-County regional Totals,Total Registrations (000s),1985,1815738.645
King County,Population,1985,1349405.7089999998
King County,Employment,1985,739701.6496
King County,Retail Sales (nominal),1985,12842884610.0
King County,Cars and Gas Trucks,1985,1031842.641
Kitsap County,Population,1985,166916.7664
Kitsap County,Employment,1985,53141.60078
Kitsap County,Retail Sales (nominal),1985,768591926.3
Kitsap County,Cars and Gas Trucks,1985,112843.20270000001
Pierce County,Population,1985,526826.0695
Pierce County,Employment,1985,157016.87430000002
Pierce County,Retail Sales (nominal),1985,3130949551.0
Pierce County,Cars and Gas Trucks,1985,346001.6766
Snohomish County,Population,1985,376574.2478
Snohomish County,Employment,1985,109828.2035
Snohomish County,Retail Sales (nominal),1985,2278947820.0
Snohomish County,Cars and Gas Trucks,1985,300073.2701
4-County regional Totals,Personal Income (nominal),1986,41700667390.0
4-County regional Totals,Population,1986,2472852.0
4-County regional Totals,Employment,1986,1105774.999
4-County regional Totals,Retail Sales (nominal),1986,20507845950.0
4-County regional Totals,Motor Fuel (gal.),1986,1292925302.0
4-County regional Totals,Cars and Gas Trucks,1986,1891598.5310000002
4-County regional Totals,Diesel,1986,28.07566704
4-County regional Totals,Total Registrations (000s),1986,1919674.1979999999
King County,Population,1986,1369061.129
King County,Employment,1986,771620.0997
King County,Retail Sales (nominal),1986,13965362350.0
