County,Revenue Category,Revenue Type,Year,Value
"Kitsap County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1988,0.0
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1988,10.918393
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1988,0.0
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1988,0.0
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1988,0.0
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1988,0.770851
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1988,0.0
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1988,2.854899
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1988,0.0
"Pierce County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1988,7.135619
"Pierce County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1988,0.0
"Pierce County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1988,0.0
"Pierce County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1988,0.0
"Pierce County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1988,0.0
"Pierce County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1988,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1988,9.011842
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1988,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1988,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1988,0.202358
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1988,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1988,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1988,0.982783
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1988,0.0
"Snohomish County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1988,5.570525
"Snohomish County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1988,0.0
"Snohomish County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1988,0.0
"Snohomish County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1988,0.0
"Snohomish County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1988,0.0
"Snohomish County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1988,0.0
"King County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1989,36.137046
"King County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1989,0.0
"King County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1989,2.30624
"King County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1989,0.78206
"King County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1989,0.0
"King County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1989,0.602239
"King County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1989,5.678394
"King County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1989,0.0
"King County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1989,11.670259
"King County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1989,0.0
"King County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1989,0.0
"King County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1989,0.0
"King County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1989,0.0
"King County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1989,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1989,5.467048
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1989,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1989,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1989,1.853468
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1989,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1989,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1989,1.192534
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1989,0.0
"Kitsap County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1989,3.135198
"Kitsap County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1989,0.0
"Kitsap County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1989,0.0
"Kitsap County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1989,0.0
"Kitsap County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1989,0.0
"Kitsap County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1989,0.0
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1989,13.117856
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1989,0.0
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1989,0.004502
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1989,0.0
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1989,0.668026
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1989,0.0
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1989,1.261776
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1989,0.0
"Pierce County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1989,7.30457
"Pierce County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1989,0.0
"Pierce County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1989,0.0
"Pierce County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1989,0.0
"Pierce County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1989,0.0
"Pierce County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1989,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1989,12.412211
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1989,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1989,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1989,0.011515
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1989,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1989,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1989,1.770636
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1989,0.0
"Snohomish County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1989,5.702483
"Snohomish County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1989,0.0
"Snohomish County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1989,0.0
"Snohomish County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1989,0.0
"Snohomish County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1989,0.0
"Snohomish County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1989,0.0
"King County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1990,34.079045
"King County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1990,0.0
"King County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1990,0.939445
"King County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1990,1.380339
"King County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1990,0.0
"King County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1990,0.0
"King County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1990,11.749778
"King County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1990,0.0
"King County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1990,12.439343
"King County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1990,0.0
"King County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1990,0.0
"King County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1990,0.0
"King County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1990,0.0
"King County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1990,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1990,6.553267
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1990,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1990,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1990,3.274544
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1990,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1990,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1990,0.7584
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1990,0.0
"Kitsap County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1990,3.388305
"Kitsap County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1990,0.0
"Kitsap County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1990,0.0
"Kitsap County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1990,0.0
"Kitsap County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1990,0.0
"Kitsap County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1990,0.0
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1990,15.194498
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1990,0.0
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1990,0.00316
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1990,0.163716
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1990,0.32411
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1990,0.0
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1990,1.566536
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1990,0.0
"Pierce County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1990,7.582325
"Pierce County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1990,0.0
"Pierce County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1990,0.0
"Pierce County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1990,0.0
"Pierce County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1990,0.0
"Pierce County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1990,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1990,13.049297
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1990,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1990,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1990,0.013397
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1990,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1990,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1990,3.126883
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1990,0.0
"Snohomish County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1990,6.299993
"Snohomish County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1990,0.0
"Snohomish County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1990,0.0
"Snohomish County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1990,0.0
"Snohomish County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1990,0.0
"Snohomish County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1990,0.0
"King County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1991,38.649733
"King County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1991,2.007637
"King County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1991,1.606078
"King County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1991,2.426091
"King County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1991,0.0
"King County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1991,0.0
"King County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1991,8.855907
"King County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1991,0.0
"King County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1991,14.039656
"King County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1991,0.0
"King County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1991,0.0
"King County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1991,0.0
"King County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1991,0.0
"King County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1991,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1991,5.788581
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1991,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1991,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1991,1.809576
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1991,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1991,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1991,0.880416
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1991,0.0
"Kitsap County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1991,3.728772
"Kitsap County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1991,0.0
"Kitsap County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1991,0.0
"Kitsap County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1991,0.0
"Kitsap County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1991,0.0
"Kitsap County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1991,0.0
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1991,17.879276
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1991,0.0
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1991,0.001257
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1991,0.154345
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1991,0.101238
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1991,0.0
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1991,2.014744
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1991,0.0
"Pierce County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1991,8.557757
"Pierce County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1991,0.0
"Pierce County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1991,0.0
"Pierce County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1991,0.0
"Pierce County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1991,0.0
"Pierce County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1991,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1991,16.180294
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1991,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1991,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1991,0.73035
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1991,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1991,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1991,3.07895
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1991,0.0
"Snohomish County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1991,7.04222
"Snohomish County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1991,0.0
"Snohomish County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1991,0.0
"Snohomish County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1991,0.0
"Snohomish County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1991,0.0
"Snohomish County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1991,0.0
"King County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1992,40.759396
"King County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1992,6.757736
"King County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1992,3.466835
"King County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1992,0.500533
"King County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1992,0.0
"King County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1992,0.0
"King County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1992,8.439977
"King County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1992,0.0
"King County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1992,14.473851
"King County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1992,0.0
"King County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1992,0.0
"King County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1992,0.0
"King County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1992,0.0
"King County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1992,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1992,7.946821
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1992,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1992,0.096396
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1992,2.98905
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1992,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1992,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1992,1.986826
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1992,0.0
"Kitsap County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1992,3.976778
"Kitsap County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1992,0.0
"Kitsap County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1992,0.0
"Kitsap County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1992,0.0
"Kitsap County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1992,0.0
"Kitsap County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1992,0.0
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1992,19.964435
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1992,2.506873
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1992,0.005622
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1992,0.152171
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1992,0.0
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1992,0.0
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1992,1.90962
"Pierce County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1992,0.0
"Pierce County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1992,9.402962
"Pierce County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1992,0.0
"Pierce County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1992,0.0
"Pierce County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1992,0.0
"Pierce County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1992,0.0
"Pierce County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1992,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1992,17.52696
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1992,3.00902
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1992,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1992,0.002
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1992,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1992,0.0
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1992,3.282296
"Snohomish County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1992,0.0
"Snohomish County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1992,7.546101
"Snohomish County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1992,0.0
"Snohomish County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1992,0.0
"Snohomish County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1992,0.0
"Snohomish County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1992,0.0
"Snohomish County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1992,0.0
"King County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1993,42.189872
"King County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1993,6.468249
"King County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1993,7.226643
