County,Revenue Category,Revenue Type,Year,Value
"King County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1988,32.128885
"King County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1988,0.0
"King County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1988,0.776647
"King County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1988,0.545339
"King County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1988,0.032656
"King County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1988,0.0
"King County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1988,4.20357
"King County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1988,0.0
"King County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1988,11.400175
"King County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1988,0.0
"King County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1988,0.0
"King County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1988,0.0
"King County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1988,0.0
"King County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Funds (highways),1988,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,County Road Levy,1988,4.954278
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Vehicle License Fee,1988,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Mitigation and Impact Fees,1988,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Local/Road Improvement Districts (LIDs/RIDs),1988,0.852245
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Real Estate Excise Tax,1988,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,General Fund Revenues,1988,0.0
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,Other Local,1988,1.120782
"Kitsap County, Nominal $millions",LOCAL TAXES & FEES,General Obligation Bonds,1988,0.0
"Kitsap County, Nominal $millions",STATE TAX DISTRIBUTIONS,County Gas Tax Distribution,1988,2.986522
"Kitsap County, Nominal $millions",STATE TAX DISTRIBUTIONS,Transportation Improvement Board,1988,0.0
"Kitsap County, Nominal $millions",STATE TAX DISTRIBUTIONS,Other State Funds,1988,0.0
"Kitsap County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,Other Federal Grants,1988,0.0
"Kitsap County, Nominal $millions",FEDERAL TAX DISTRIBUTIONS,PSRC Federal Grants,1988,0.0
